"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-13,"Rennes","Toulouse",1,2,"A",1,2,"A",1.81,3.79,4.59,"1-2","1-2",19,4,10,3,3,3,0,0,8,4,20,18,3,12,38,"8-4","Y","Y","N",6,0,"Rennes-Toulouse","Florent Batta",74,3,80,60,900,180,720,4800,36,240,960,888,2160,1,0.5,0,1,0,0,3,2,0,0,0,10,10,30,20,50,500,239,0,203,0,239,203,442,60,34,34,0,111
"2","F1",2024-04-21,"Toulouse","Marseille",2,2,"D",1,1,"D",2.85,3.25,2.67,"1-1","2-2",10,3,11,3,1,2,0,0,7,4,11,13,4,11,24,"7-4","Y","Y","Y",3,0,"Toulouse-Marseille","Clément Turpin",255,4,70,30,200,120,330,2100,44,280,770,2805,1320,0.5,1.1,1,1,0,0,0,1,0,0,10,10,20,0,10,10,200,39,0,80,0,39,80,119,39,33,33,0,108
"3","F1",2024-04-28,"Lorient","Toulouse",1,2,"A",1,0,"H",2.69,3.41,2.72,"1-0","1-2",15,5,14,5,1,3,0,0,5,1,14,17,3,6,31,"5-1","Y","Y","N",4,0,"Lorient-Toulouse","Gaël Angoula",161,3,40,40,300,120,240,1600,18,120,240,966,720,1.4,1.8,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,31,0,176,0,31,176,207,31,38,31,0,83
"4","F1",2024-05-03,"Toulouse","Montpellier",1,2,"A",1,1,"D",2.1,3.81,3.44,"1-1","1-2",15,5,5,3,3,4,1,1,8,0,17,14,3,8,31,"8-0","Y","Y","N",7,2,"Toulouse-Montpellier","Marc Bollengier",142,3,42,120,3575,360,960,5040,24,126,336,1136,2880,1.3,0.5,0,2,0,0,2,1,0,1,0,20,20,20,35,55,1100,114,0,165,130,114,295,409,54,26,26,0,134
"5","F1",2024-05-12,"Paris SG","Toulouse",1,3,"A",1,1,"D",1.38,5.96,6.92,"1-1","1-3",15,3,18,5,0,0,0,0,4,6,12,8,4,10,20,"4-6","Y","Y","Y",0,0,"Paris SG-Toulouse","Florent Batta",179,4,72,0,0,0,0,0,40,288,720,1790,0,1.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"6","F1",2024-05-19,"Toulouse","Brest",0,3,"A",0,0,"D",3.84,3.95,1.9,"0-0","0-3",8,2,12,6,1,2,0,0,6,2,12,17,3,8,29,"6-2","Y","Y","N",3,0,"Toulouse-Brest","Jérémie Pignard",192,3,91,30,200,90,240,2730,24,273,728,1536,720,0.9,1.6,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,53,0,162,0,53,162,215,53,79,53,0,84
"7","F1",2024-04-14,"Le Havre","Nantes",0,1,"A",0,0,"D",2.63,2.99,3.14,"0-0","0-1",10,1,12,4,3,2,0,0,6,7,14,12,1,13,26,"6-7","N","N","N",5,0,"Le Havre-Nantes","Hakim Ben El Hadj Salem",90,1,12,50,600,50,650,600,13,12,156,1170,650,1.4,0.8,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,190,0,160,0,190,160,350,16,66,16,0,79
"8","F1",2024-04-20,"Nantes","Rennes",0,3,"A",0,0,"D",3.11,3.3,2.45,"0-0","0-3",6,4,14,5,1,4,0,0,3,7,16,11,3,10,27,"3-7","Y","Y","N",5,0,"Nantes-Rennes","Willy Delajod",232,3,34,50,400,150,500,1700,30,102,340,2320,1500,0.2,2.4,0,2,0,0,1,2,0,0,0,20,20,10,20,30,600,84,0,200,0,84,200,284,84,40,40,1,110
"9","F1",2024-04-26,"Montpellier","Nantes",1,1,"D",1,1,"D",2.04,3.6,3.85,"1-1","1-1",8,1,15,5,2,1,2,0,3,6,11,14,2,9,25,"3-6","Y","N","N",3,2,"Montpellier-Nantes","Jeremy Stinat",9,2,47,80,700,160,720,3760,18,94,423,81,1440,0.8,1.3,2,1,0,0,0,0,2,0,20,10,30,50,0,50,1500,69,372,50,0,441,50,491,24,50,24,0,102
"10","F1",2024-05-04,"Brest","Nantes",0,0,"D",0,0,"D",1.74,3.72,5.16,"0-0","0-0",9,2,9,1,3,2,0,0,6,0,6,14,0,6,20,"6-0","N","N","N",5,0,"Brest-Nantes","Clément Turpin",0,0,0,50,600,0,300,0,0,0,0,0,0,0.5,1.6,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,167,0,143,0,167,143,310,21,54,21,0,43
