"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-14,"Lyon","Brest",4,3,"H",1,0,"H",2.28,3.31,3.41,"1-0","4-3",16,8,22,7,5,5,1,1,10,7,12,7,7,17,19,"10-7","Y","Y","Y",10,2,"Lyon-Brest","Mathieu Vernice",448,7,148,150,5625,1050,2550,22200,119,1036,2516,7616,17850,2.1,1.7,0,2,0,0,4,2,0,0,0,20,20,40,20,60,1200,303,0,252,0,303,252,555,57,17,17,1,246
"2","F1",2024-04-21,"Brest","Monaco",0,2,"A",0,1,"A",2.73,3.43,2.67,"0-1","0-2",12,2,8,3,5,2,0,2,7,4,8,9,2,11,17,"7-4","Y","N","N",7,2,"Brest-Monaco","Ruddy Buquet",88,2,24,120,3500,240,1320,2880,22,48,264,968,2640,0.6,0.9,0,1,0,0,5,1,0,2,0,10,10,50,60,110,1100,399,0,109,372,399,481,880,59,44,44,0,128
"3","F1",2024-04-28,"Rennes","Brest",4,5,"A",2,1,"H",2.28,3.39,3.33,"2-1","4-5",21,7,10,5,4,1,0,0,7,4,14,15,9,11,29,"7-4","Y","Y","Y",5,0,"Rennes-Brest","Benoît Bastien",429,9,117,50,400,450,550,5850,99,1053,1287,4719,4950,2.6,2,1,0,0,0,3,1,0,0,10,0,10,30,10,40,400,278,0,75,0,278,75,353,46,75,46,0,193
"4","F1",2024-05-04,"Brest","Nantes",0,0,"D",0,0,"D",1.74,3.72,5.16,"0-0","0-0",9,2,9,1,3,2,0,0,6,0,6,14,0,6,20,"6-0","N","N","N",5,0,"Brest-Nantes","Clément Turpin",0,0,0,50,600,0,300,0,0,0,0,0,0,0.5,1.6,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,167,0,143,0,167,143,310,21,54,21,0,43
"5","F1",2024-05-10,"Brest","Reims",1,1,"D",1,1,"D",1.7,4.01,5.2,"1-1","1-1",16,5,8,2,2,3,0,0,3,4,12,12,2,7,24,"3-4","Y","N","N",5,0,"Brest-Reims","Jérôme Brisard",70,2,18,50,600,100,350,900,14,36,126,490,700,1.3,0.6,0,2,0,0,2,1,0,0,0,20,20,20,10,30,600,168,0,117,0,168,117,285,73,9,9,0,76
"6","F1",2024-05-19,"Toulouse","Brest",0,3,"A",0,0,"D",3.84,3.95,1.9,"0-0","0-3",8,2,12,6,1,2,0,0,6,2,12,17,3,8,29,"6-2","Y","Y","N",3,0,"Toulouse-Brest","Jérémie Pignard",192,3,91,30,200,90,240,2730,24,273,728,1536,720,0.9,1.6,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,53,0,162,0,53,162,215,53,79,53,0,84
"7","F1",2024-04-21,"Toulouse","Marseille",2,2,"D",1,1,"D",2.85,3.25,2.67,"1-1","2-2",10,3,11,3,1,2,0,0,7,4,11,13,4,11,24,"7-4","Y","Y","Y",3,0,"Toulouse-Marseille","Clément Turpin",255,4,70,30,200,120,330,2100,44,280,770,2805,1320,0.5,1.1,1,1,0,0,0,1,0,0,10,10,20,0,10,10,200,39,0,80,0,39,80,119,39,33,33,0,108
"8","F1",2024-04-24,"Marseille","Nice",2,2,"D",1,1,"D",2.27,3.45,3.31,"1-1","2-2",11,4,10,4,2,3,1,0,3,2,10,14,4,5,24,"3-2","Y","Y","Y",5,1,"Marseille-Nice","Jérémie Pignard",172,4,52,75,1350,300,375,3900,20,208,260,860,1500,2.2,1.4,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,22,0,126,0,22,126,148,22,11,11,1,125
"9","F1",2024-04-28,"Marseille","Lens",2,1,"H",1,0,"H",2.51,3.52,2.85,"1-0","2-1",13,6,18,5,2,2,0,0,3,11,8,12,3,14,20,"3-11","Y","Y","N",4,0,"Marseille-Lens","Eric Wattellier",163,3,54,40,400,120,560,2160,42,162,756,2282,1680,1.7,1.2,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,104,0,122,0,104,122,226,41,54,41,0,107
"10","F1",2024-05-12,"Marseille","Lorient",3,1,"H",2,1,"H",1.47,4.84,6.63,"2-1","3-1",13,4,14,3,3,4,0,0,9,5,9,6,4,14,15,"9-5","Y","Y","Y",7,0,"Marseille-Lorient","Bastien Dechepy",174,4,29,70,1200,280,980,2030,56,116,406,2436,3920,2.8,1.7,0,1,0,0,3,3,0,0,0,10,10,30,30,60,600,217,0,221,0,217,221,438,49,17,17,1,147
