"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-21,"Lille","Strasbourg",1,0,"H",1,0,"H",1.62,4.07,5.71,"1-0","1-0",6,2,8,2,2,3,0,0,4,4,11,19,1,8,30,"4-4","N","N","N",5,0,"Lille-Strasbourg","Benoît Millot",12,1,9,50,600,50,400,450,8,9,72,96,400,0.8,1.3,1,1,0,0,1,2,0,0,10,10,20,10,20,30,600,118,0,201,0,118,201,319,23,44,23,0,64
"2","F1",2024-04-24,"Monaco","Lille",1,0,"H",0,0,"D",2.32,3.63,3.07,"0-0","1-0",19,7,13,4,1,2,0,0,7,5,9,9,1,12,18,"7-5","N","N","N",3,0,"Monaco-Lille","Clément Turpin",61,1,19,30,200,30,360,570,12,19,228,732,360,1.6,1.3,1,0,0,0,0,2,0,0,10,0,10,0,20,20,200,21,0,120,0,21,120,141,21,54,21,0,66
"3","F1",2024-04-28,"Metz","Lille",1,2,"A",1,2,"A",4.73,3.92,1.76,"1-2","1-2",5,2,14,4,1,2,0,0,2,4,15,12,3,6,27,"2-4","Y","Y","N",3,0,"Metz-Lille","Stéphanie Frappart",98,3,53,30,200,90,180,1590,18,159,318,588,540,1.1,0.8,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,76,0,88,0,76,88,164,76,37,37,1,88
"4","F1",2024-05-06,"Lille","Lyon",3,4,"A",2,0,"H",1.92,3.89,3.9,"2-0","3-4",8,5,11,7,3,1,0,0,4,4,14,14,7,8,28,"4-4","Y","Y","Y",4,0,"Lille-Lyon","Benoît Bastien",468,7,104,40,300,280,320,4160,56,728,832,3744,2240,0.9,2.4,1,1,0,0,2,0,0,0,10,10,20,20,0,20,400,202,0,35,0,202,35,237,28,35,28,0,149
"5","F1",2024-05-12,"Nantes","Lille",1,2,"A",0,2,"A",4.03,3.53,1.99,"0-2","1-2",9,5,12,3,4,2,0,0,5,4,17,7,3,9,24,"5-4","Y","Y","N",6,0,"Nantes-Lille","Eric Wattellier",73,3,57,60,800,180,540,3420,27,171,513,657,1620,0.7,1.5,2,1,0,0,2,1,0,0,20,10,30,20,10,30,900,211,0,125,0,211,125,336,33,44,33,0,102
"6","F1",2024-05-19,"Lille","Nice",2,2,"D",0,1,"A",1.61,4.01,5.09,"0-1","2-2",12,3,10,4,3,3,1,0,3,5,9,9,4,8,18,"3-5","Y","Y","Y",6,1,"Lille-Nice","Willy Delajod",228,4,75,85,1650,340,680,6375,32,300,600,1824,2720,1.2,0.9,0,0,0,0,3,3,1,0,0,0,0,55,30,85,0,210,196,241,0,406,241,647,58,64,58,0,129
"7","F1",2024-05-19,"Lille","Nice",2,2,"D",0,1,"A",1.61,4.01,5.09,"0-1","2-2",12,3,10,4,3,3,1,0,3,5,9,9,4,8,18,"3-5","Y","Y","Y",6,1,"Lille-Nice","Willy Delajod",156.666666666667,3.16666666666667,52.8333333333333,49.1666666666667,625,161.666666666667,413.333333333333,2760.83333333333,25.5,231,427.166666666667,1273.5,1313.33333333333,1.05,1.36666666666667,0.833333333333333,0.666666666666667,0,0,1.5,1.5,0.166666666666667,0,8.33333333333333,6.66666666666667,15,19.1666666666667,15,34.1666666666667,383.333333333333,139.666666666667,32.6666666666667,135,0,172.333333333333,135,307.333333333333,39.8333333333333,46.3333333333333,33.3333333333333,0.166666666666667,99.6666666666667
