"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-21,"Toulouse","Marseille",2,2,"D",1,1,"D",2.85,3.25,2.67,"1-1","2-2",10,3,11,3,1,2,0,0,7,4,11,13,4,11,24,"7-4","Y","Y","Y",3,0,"Toulouse-Marseille","Clément Turpin",255,4,70,30,200,120,330,2100,44,280,770,2805,1320,0.5,1.1,1,1,0,0,0,1,0,0,10,10,20,0,10,10,200,39,0,80,0,39,80,119,39,33,33,0,108
"2","F1",2024-04-24,"Marseille","Nice",2,2,"D",1,1,"D",2.27,3.45,3.31,"1-1","2-2",11,4,10,4,2,3,1,0,3,2,10,14,4,5,24,"3-2","Y","Y","Y",5,1,"Marseille-Nice","Jérémie Pignard",172,4,52,75,1350,300,375,3900,20,208,260,860,1500,2.2,1.4,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,22,0,126,0,22,126,148,22,11,11,1,125
"3","F1",2024-04-28,"Marseille","Lens",2,1,"H",1,0,"H",2.51,3.52,2.85,"1-0","2-1",13,6,18,5,2,2,0,0,3,11,8,12,3,14,20,"3-11","Y","Y","N",4,0,"Marseille-Lens","Eric Wattellier",163,3,54,40,400,120,560,2160,42,162,756,2282,1680,1.7,1.2,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,104,0,122,0,104,122,226,41,54,41,0,107
"4","F1",2024-05-12,"Marseille","Lorient",3,1,"H",2,1,"H",1.47,4.84,6.63,"2-1","3-1",13,4,14,3,3,4,0,0,9,5,9,6,4,14,15,"9-5","Y","Y","Y",7,0,"Marseille-Lorient","Bastien Dechepy",174,4,29,70,1200,280,980,2030,56,116,406,2436,3920,2.8,1.7,0,1,0,0,3,3,0,0,0,10,10,30,30,60,600,217,0,221,0,217,221,438,49,17,17,1,147
"5","F1",2024-05-15,"Reims","Marseille",1,0,"H",1,0,"H",3.3,3.68,2.18,"1-0","1-0",10,3,19,3,3,1,0,0,3,10,17,9,1,13,26,"3-10","N","N","N",4,0,"Reims-Marseille","Hakim Ben El Hadj Salem",33,1,99,40,300,40,520,3960,13,99,1287,429,520,1.1,1.7,2,0,0,0,1,1,0,0,20,0,20,10,10,20,400,114,0,55,0,114,55,169,18,55,18,0,74
"6","F1",2024-05-19,"Le Havre","Marseille",1,2,"A",0,0,"D",4.43,3.77,1.82,"0-0","1-2",13,6,22,7,1,0,0,0,5,3,11,11,3,8,22,"5-3","Y","Y","N",1,0,"Le Havre-Marseille","Jeremy Stinat",231,3,81,10,0,30,80,810,24,243,648,1848,240,1.8,1.5,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,82,0,0,0,82,0,82,82,0,0,1,84
"7","F1",2024-04-14,"Clermont","Montpellier",1,1,"D",1,0,"H",3.37,3.65,2.16,"1-0","1-1",10,2,14,6,1,1,0,0,3,4,12,14,2,7,26,"3-4","Y","N","N",2,0,"Clermont-Montpellier","Thomas Léonard",101,2,80,20,100,40,140,1600,14,160,560,707,280,1.5,1.4,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,94,0,58,0,94,58,152,94,58,58,1,71
"8","F1",2024-04-21,"Reims","Montpellier",1,2,"A",0,1,"A",2,3.69,3.79,"0-1","1-2",22,4,12,5,3,3,0,0,8,4,15,10,3,12,25,"8-4","Y","Y","N",6,0,"Reims-Montpellier","Pierre Gaillouste",178,3,38,60,900,180,720,2280,36,114,456,2136,2160,1.5,1.6,1,0,0,0,2,3,0,0,10,0,10,20,30,50,500,183,0,198,0,183,198,381,42,47,42,0,111
"9","F1",2024-04-26,"Montpellier","Nantes",1,1,"D",1,1,"D",2.04,3.6,3.85,"1-1","1-1",8,1,15,5,2,1,2,0,3,6,11,14,2,9,25,"3-6","Y","N","N",3,2,"Montpellier-Nantes","Jeremy Stinat",9,2,47,80,700,160,720,3760,18,94,423,81,1440,0.8,1.3,2,1,0,0,0,0,2,0,20,10,30,50,0,50,1500,69,372,50,0,441,50,491,24,50,24,0,102
"10","F1",2024-05-03,"Toulouse","Montpellier",1,2,"A",1,1,"D",2.1,3.81,3.44,"1-1","1-2",15,5,5,3,3,4,1,1,8,0,17,14,3,8,31,"8-0","Y","Y","N",7,2,"Toulouse-Montpellier","Marc Bollengier",142,3,42,120,3575,360,960,5040,24,126,336,1136,2880,1.3,0.5,0,2,0,0,2,1,0,1,0,20,20,20,35,55,1100,114,0,165,130,114,295,409,54,26,26,0,134
