"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-14,"Le Havre","Nantes",0,1,"A",0,0,"D",2.63,2.99,3.14,"0-0","0-1",10,1,12,4,3,2,0,0,6,7,14,12,1,13,26,"6-7","N","N","N",5,0,"Le Havre-Nantes","Hakim Ben El Hadj Salem",90,1,12,50,600,50,650,600,13,12,156,1170,650,1.4,0.8,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,190,0,160,0,190,160,350,16,66,16,0,79
"2","F1",2024-04-21,"Le Havre","Metz",0,1,"A",0,0,"D",2.24,3.18,3.67,"0-0","0-1",16,4,9,2,2,3,0,0,4,2,9,19,1,6,28,"4-2","N","N","N",5,0,"Le Havre-Metz","Marc Bollengier",46,1,10,50,600,50,300,500,6,10,60,276,300,0.7,1.3,1,1,0,0,1,2,0,0,10,10,20,10,20,30,600,93,0,178,0,93,178,271,21,16,16,0,58
"3","F1",2024-04-27,"Paris SG","Le Havre",3,3,"D",1,2,"A",1.34,5.5,9.32,"1-2","3-3",17,4,6,4,2,1,0,0,11,2,10,8,6,13,18,"11-2","Y","Y","Y",3,0,"Paris SG-Le Havre","Willy Delajod",315,6,189,30,200,180,390,5670,78,1134,2457,4095,2340,2.6,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,167,0,97,0,167,97,264,74,97,74,1,154
"4","F1",2024-05-04,"Le Havre","Strasbourg",3,1,"H",1,0,"H",2.44,3.28,3.15,"1-0","3-1",15,7,5,3,3,1,0,0,3,2,6,13,4,5,19,"3-2","Y","Y","Y",4,0,"Le Havre-Strasbourg","Jérôme Brisard",265,4,46,40,300,160,200,1840,20,184,230,1325,800,1.8,1,1,0,0,0,2,1,0,0,10,0,10,20,10,30,300,183,0,75,0,183,75,258,41,75,41,0,95
"5","F1",2024-05-10,"Nice","Le Havre",1,0,"H",1,0,"H",1.57,4.22,6.3,"1-0","1-0",13,6,12,3,2,0,0,0,6,1,10,9,1,7,19,"6-1","N","N","N",2,0,"Nice-Le Havre","Benoît Bastien",12,1,7,20,0,20,140,140,7,7,49,84,140,1.8,0.5,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,81,0,0,0,81,0,81,16,0,0,0,46
"6","F1",2024-05-19,"Le Havre","Marseille",1,2,"A",0,0,"D",4.43,3.77,1.82,"0-0","1-2",13,6,22,7,1,0,0,0,5,3,11,11,3,8,22,"5-3","Y","Y","N",1,0,"Le Havre-Marseille","Jeremy Stinat",231,3,81,10,0,30,80,810,24,243,648,1848,240,1.8,1.5,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,82,0,0,0,82,0,82,82,0,0,1,84
"7","F1",2024-04-21,"Paris SG","Lyon",4,1,"H",4,1,"H",1.5,5.06,5.71,"4-1","4-1",14,6,16,6,0,0,0,0,4,10,9,10,5,14,19,"4-10","Y","Y","Y",0,0,"Paris SG-Lyon","François Letexier",121,5,121,0,0,0,0,0,70,605,1694,1694,0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
"8","F1",2024-04-24,"Lorient","Paris SG",1,4,"A",0,2,"A",7.76,5.46,1.38,"0-2","1-4",11,6,15,7,1,1,0,0,3,6,8,7,5,9,15,"3-6","Y","Y","Y",2,0,"Lorient-Paris SG","Marc Bollengier",264,5,43,20,100,100,180,860,45,215,387,2376,900,0.9,1.6,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,63,0,26,0,63,26,89,63,26,26,0,112
"9","F1",2024-04-27,"Paris SG","Le Havre",3,3,"D",1,2,"A",1.34,5.5,9.32,"1-2","3-3",17,4,6,4,2,1,0,0,11,2,10,8,6,13,18,"11-2","Y","Y","Y",3,0,"Paris SG-Le Havre","Willy Delajod",315,6,189,30,200,180,390,5670,78,1134,2457,4095,2340,2.6,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,167,0,97,0,167,97,264,74,97,74,1,154
"10","F1",2024-05-12,"Paris SG","Toulouse",1,3,"A",1,1,"D",1.38,5.96,6.92,"1-1","1-3",15,3,18,5,0,0,0,0,4,6,12,8,4,10,20,"4-6","Y","Y","Y",0,0,"Paris SG-Toulouse","Florent Batta",179,4,72,0,0,0,0,0,40,288,720,1790,0,1.8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
"11","F1",2024-05-15,"Nice","Paris SG",1,2,"A",1,2,"A",2.44,3.85,2.76,"1-2","1-2",12,4,11,4,1,3,1,0,7,2,13,10,3,9,23,"7-2","Y","Y","N",4,1,"Nice-Paris SG","Ruddy Buquet",73,3,96,65,1050,195,585,6240,27,288,864,657,1755,1.4,1,0,3,0,0,1,0,1,0,0,30,30,35,0,35,1050,93,150,79,0,243,79,322,93,20,20,0,107
"12","F1",2024-05-19,"Metz","Paris SG",0,2,"A",0,2,"A",5.23,4.41,1.6,"0-2","0-2",10,2,20,8,2,1,0,0,1,11,6,9,2,12,15,"1-11","Y","N","N",3,0,"Metz-Paris SG","Gaël Angoula",19,2,47,30,200,60,360,1410,24,94,564,228,720,0.9,2,0,1,0,0,2,0,0,0,0,10,10,20,0,20,200,165,0,44,0,165,44,209,79,44,44,0,81
