"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-21,"Brest","Monaco",0,2,"A",0,1,"A",2.73,3.43,2.67,"0-1","0-2",12,2,8,3,5,2,0,2,7,4,8,9,2,11,17,"7-4","Y","N","N",7,2,"Brest-Monaco","Ruddy Buquet",88,2,24,120,3500,240,1320,2880,22,48,264,968,2640,0.6,0.9,0,1,0,0,5,1,0,2,0,10,10,50,60,110,1100,399,0,109,372,399,481,880,59,44,44,0,128
"2","F1",2024-04-24,"Monaco","Lille",1,0,"H",0,0,"D",2.32,3.63,3.07,"0-0","1-0",19,7,13,4,1,2,0,0,7,5,9,9,1,12,18,"7-5","N","N","N",3,0,"Monaco-Lille","Clément Turpin",61,1,19,30,200,30,360,570,12,19,228,732,360,1.6,1.3,1,0,0,0,0,2,0,0,10,0,10,0,20,20,200,21,0,120,0,21,120,141,21,54,21,0,66
"3","F1",2024-04-28,"Lyon","Monaco",3,2,"H",2,1,"H",2.61,3.79,2.59,"2-1","3-2",15,4,13,5,1,3,0,0,3,3,15,14,5,6,29,"3-3","Y","Y","Y",4,0,"Lyon-Monaco","Bastien Dechepy",193,5,58,40,300,200,240,2320,30,290,348,1158,1200,2.2,1.7,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,38,0,141,0,38,141,179,38,25,25,0,113
"4","F1",2024-05-04,"Monaco","Clermont",4,1,"H",2,1,"H",1.31,6.26,8.38,"2-1","4-1",23,8,9,1,3,1,0,0,4,4,13,12,5,8,25,"4-4","Y","Y","Y",4,0,"Monaco-Clermont","Hakim Ben El Hadj Salem",231,5,84,40,300,200,320,3360,40,420,672,1848,1600,3.6,1.4,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,181,0,90,0,181,90,271,51,90,51,0,119
"5","F1",2024-05-12,"Montpellier","Monaco",0,2,"A",0,0,"D",3.92,4.26,1.83,"0-0","0-2",14,3,19,9,1,1,0,0,3,3,20,10,2,6,30,"3-3","Y","N","N",2,0,"Montpellier-Monaco","Stéphanie Frappart",117,2,39,20,100,40,120,780,12,78,234,702,240,0.8,2,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,19,0,72,0,19,72,91,19,72,19,0,58
"6","F1",2024-05-19,"Monaco","Nantes",4,0,"H",3,0,"H",1.41,5.33,6.67,"3-0","4-0",10,6,6,3,1,2,0,0,2,2,14,23,4,4,37,"2-2","Y","Y","Y",3,0,"Monaco-Nantes","Romain Lissorgue",101,4,26,30,200,120,120,780,16,104,104,404,480,1.5,1,1,2,0,0,0,0,0,0,10,20,30,0,0,0,0,21,0,77,0,21,77,98,21,36,21,1,97
"7","F1",2024-05-19,"Monaco","Nantes",4,0,"H",3,0,"H",1.41,5.33,6.67,"3-0","4-0",10,6,6,3,1,2,0,0,2,2,14,23,4,4,37,"2-2","Y","Y","Y",3,0,"Monaco-Nantes","Romain Lissorgue",131.833333333333,3.16666666666667,41.6666666666667,46.6666666666667,766.666666666667,138.333333333333,413.333333333333,1781.66666666667,22,159.833333333333,308.333333333333,968.666666666667,1086.66666666667,1.71666666666667,1.38333333333333,0.666666666666667,0.666666666666667,0,0,1.33333333333333,1.16666666666667,0,0.333333333333333,6.66666666666667,6.66666666666667,13.3333333333333,13.3333333333333,20,33.3333333333333,300,113.166666666667,0,101.5,62,113.166666666667,163.5,276.666666666667,34.8333333333333,53.5,30.1666666666667,0.166666666666667,96.8333333333333
