"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-12,"Metz","Lens",2,1,"H",2,1,"H",5.07,3.92,1.73,"2-1","2-1",11,5,17,2,2,5,0,0,5,2,11,17,3,7,28,"5-2","Y","Y","N",7,0,"Metz-Lens","Romain Lissorgue",92,3,27,70,1000,210,490,1890,21,81,189,644,1470,0.8,1.5,2,2,0,0,0,3,0,0,20,20,40,0,30,30,1200,65,0,288,0,65,288,353,21,44,21,1,111
"2","F1",2024-04-20,"Lens","Clermont",1,0,"H",1,0,"H",1.4,4.78,8.58,"1-0","1-0",17,4,8,1,1,4,0,0,4,3,17,17,1,7,34,"4-3","N","N","N",5,0,"Lens-Clermont","Benoît Bastien",3,1,7,50,400,50,350,350,7,7,49,21,350,1.9,0.7,0,3,0,0,1,1,0,0,0,30,30,10,10,20,600,54,0,182,0,54,182,236,54,18,18,1,71
"3","F1",2024-04-28,"Marseille","Lens",2,1,"H",1,0,"H",2.51,3.52,2.85,"1-0","2-1",13,6,18,5,2,2,0,0,3,11,8,12,3,14,20,"3-11","Y","Y","N",4,0,"Marseille-Lens","Eric Wattellier",163,3,54,40,400,120,560,2160,42,162,756,2282,1680,1.7,1.2,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,104,0,122,0,104,122,226,41,54,41,0,107
"4","F1",2024-05-03,"Lens","Lorient",2,0,"H",0,0,"D",1.44,5.03,6.87,"0-0","2-0",18,6,11,5,1,2,0,0,4,4,10,14,2,8,24,"4-4","Y","N","N",3,0,"Lens-Lorient","Jérémie Pignard",138,2,19,30,200,60,240,570,16,38,152,1104,480,2.1,0.6,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,58,0,91,0,58,91,149,58,20,20,0,69
"5","F1",2024-05-12,"Rennes","Lens",1,1,"D",0,0,"D",2.51,3.59,2.81,"0-0","1-1",16,6,8,4,2,3,0,0,4,3,12,14,2,7,26,"4-3","Y","N","N",5,0,"Rennes-Lens","Benoît Millot",130,2,45,50,600,100,350,2250,14,90,315,910,700,1.4,0.4,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,125,0,144,0,125,144,269,42,21,21,0,76
"6","F1",2024-05-19,"Lens","Montpellier",2,2,"D",2,0,"H",1.43,5.16,6.65,"2-0","2-2",27,13,11,2,0,1,0,0,1,0,10,13,4,1,23,"1-0","Y","Y","Y",1,0,"Lens-Montpellier","Thomas Léonard",181,4,89,10,0,40,10,890,4,356,89,181,40,5.2,0.8,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,95,0,0,95,95,0,95,0,0,68
"7","F1",2024-04-21,"Brest","Monaco",0,2,"A",0,1,"A",2.73,3.43,2.67,"0-1","0-2",12,2,8,3,5,2,0,2,7,4,8,9,2,11,17,"7-4","Y","N","N",7,2,"Brest-Monaco","Ruddy Buquet",88,2,24,120,3500,240,1320,2880,22,48,264,968,2640,0.6,0.9,0,1,0,0,5,1,0,2,0,10,10,50,60,110,1100,399,0,109,372,399,481,880,59,44,44,0,128
"8","F1",2024-04-24,"Monaco","Lille",1,0,"H",0,0,"D",2.32,3.63,3.07,"0-0","1-0",19,7,13,4,1,2,0,0,7,5,9,9,1,12,18,"7-5","N","N","N",3,0,"Monaco-Lille","Clément Turpin",61,1,19,30,200,30,360,570,12,19,228,732,360,1.6,1.3,1,0,0,0,0,2,0,0,10,0,10,0,20,20,200,21,0,120,0,21,120,141,21,54,21,0,66
"9","F1",2024-04-28,"Lyon","Monaco",3,2,"H",2,1,"H",2.61,3.79,2.59,"2-1","3-2",15,4,13,5,1,3,0,0,3,3,15,14,5,6,29,"3-3","Y","Y","Y",4,0,"Lyon-Monaco","Bastien Dechepy",193,5,58,40,300,200,240,2320,30,290,348,1158,1200,2.2,1.7,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,38,0,141,0,38,141,179,38,25,25,0,113
"10","F1",2024-05-04,"Monaco","Clermont",4,1,"H",2,1,"H",1.31,6.26,8.38,"2-1","4-1",23,8,9,1,3,1,0,0,4,4,13,12,5,8,25,"4-4","Y","Y","Y",4,0,"Monaco-Clermont","Hakim Ben El Hadj Salem",231,5,84,40,300,200,320,3360,40,420,672,1848,1600,3.6,1.4,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,181,0,90,0,181,90,271,51,90,51,0,119
"11","F1",2024-05-12,"Montpellier","Monaco",0,2,"A",0,0,"D",3.92,4.26,1.83,"0-0","0-2",14,3,19,9,1,1,0,0,3,3,20,10,2,6,30,"3-3","Y","N","N",2,0,"Montpellier-Monaco","Stéphanie Frappart",117,2,39,20,100,40,120,780,12,78,234,702,240,0.8,2,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,19,0,72,0,19,72,91,19,72,19,0,58
"12","F1",2024-05-19,"Monaco","Nantes",4,0,"H",3,0,"H",1.41,5.33,6.67,"3-0","4-0",10,6,6,3,1,2,0,0,2,2,14,23,4,4,37,"2-2","Y","Y","Y",3,0,"Monaco-Nantes","Romain Lissorgue",101,4,26,30,200,120,120,780,16,104,104,404,480,1.5,1,1,2,0,0,0,0,0,0,10,20,30,0,0,0,0,21,0,77,0,21,77,98,21,36,21,1,97
"13","F1",2024-05-19,"Monaco","Nantes",4,0,"H",3,0,"H",1.41,5.33,6.67,"3-0","4-0",10,6,6,3,1,2,0,0,2,2,14,23,4,4,37,"2-2","Y","Y","Y",3,0,"Monaco-Nantes","Romain Lissorgue",124.833333333333,2.83333333333333,40.9166666666667,44.1666666666667,600,117.5,373.333333333333,1566.66666666667,19.6666666666667,141.083333333333,283.333333333333,912.833333333333,936.666666666667,1.95,1.125,0.666666666666667,1,0,0,1,1.33333333333333,0,0.166666666666667,6.66666666666667,10,16.6666666666667,10,17.5,27.5,391.666666666667,90.4166666666667,0,127.583333333333,31,90.4166666666667,158.583333333333,249,35.4166666666667,47.75,25.1666666666667,0.25,90.25
