"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","F1",2024-04-19,"Nice","Lorient",3,0,"H",1,0,"H",1.57,4.26,6.2,"1-0","3-0",19,10,9,4,0,2,0,0,2,3,11,7,3,5,18,"2-3","Y","Y","N",2,0,"Nice-Lorient","Jeremy Stinat",164,3,135,20,0,60,100,2700,15,405,675,820,300,2.5,0.5,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,64,0,0,64,64,0,7,0,0,70
"2","F1",2024-04-24,"Marseille","Nice",2,2,"D",1,1,"D",2.27,3.45,3.31,"1-1","2-2",11,4,10,4,2,3,1,0,3,2,10,14,4,5,24,"3-2","Y","Y","Y",5,1,"Marseille-Nice","Jérémie Pignard",172,4,52,75,1350,300,375,3900,20,208,260,860,1500,2.2,1.4,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,22,0,126,0,22,126,148,22,11,11,1,125
"3","F1",2024-04-28,"Strasbourg","Nice",1,3,"A",1,1,"D",3.24,3.22,2.42,"1-1","1-3",13,5,8,4,2,3,0,0,2,3,11,14,4,5,25,"2-3","Y","Y","Y",5,0,"Strasbourg-Nice","Thomas Léonard",197,4,70,50,600,200,250,3500,20,280,350,985,1000,0.6,1.6,0,1,0,0,2,2,0,0,0,10,10,20,20,40,400,112,0,212,0,112,212,324,49,34,34,1,110
"4","F1",2024-05-10,"Nice","Le Havre",1,0,"H",1,0,"H",1.57,4.22,6.3,"1-0","1-0",13,6,12,3,2,0,0,0,6,1,10,9,1,7,19,"6-1","N","N","N",2,0,"Nice-Le Havre","Benoît Bastien",12,1,7,20,0,20,140,140,7,7,49,84,140,1.8,0.5,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,81,0,0,0,81,0,81,16,0,0,0,46
"5","F1",2024-05-15,"Nice","Paris SG",1,2,"A",1,2,"A",2.44,3.85,2.76,"1-2","1-2",12,4,11,4,1,3,1,0,7,2,13,10,3,9,23,"7-2","Y","Y","N",4,1,"Nice-Paris SG","Ruddy Buquet",73,3,96,65,1050,195,585,6240,27,288,864,657,1755,1.4,1,0,3,0,0,1,0,1,0,0,30,30,35,0,35,1050,93,150,79,0,243,79,322,93,20,20,0,107
"6","F1",2024-05-19,"Lille","Nice",2,2,"D",0,1,"A",1.61,4.01,5.09,"0-1","2-2",12,3,10,4,3,3,1,0,3,5,9,9,4,8,18,"3-5","Y","Y","Y",6,1,"Lille-Nice","Willy Delajod",228,4,75,85,1650,340,680,6375,32,300,600,1824,2720,1.2,0.9,0,0,0,0,3,3,1,0,0,0,0,55,30,85,0,210,196,241,0,406,241,647,58,64,58,0,129
"7","F1",2024-04-14,"Lyon","Brest",4,3,"H",1,0,"H",2.28,3.31,3.41,"1-0","4-3",16,8,22,7,5,5,1,1,10,7,12,7,7,17,19,"10-7","Y","Y","Y",10,2,"Lyon-Brest","Mathieu Vernice",448,7,148,150,5625,1050,2550,22200,119,1036,2516,7616,17850,2.1,1.7,0,2,0,0,4,2,0,0,0,20,20,40,20,60,1200,303,0,252,0,303,252,555,57,17,17,1,246
"8","F1",2024-04-21,"Brest","Monaco",0,2,"A",0,1,"A",2.73,3.43,2.67,"0-1","0-2",12,2,8,3,5,2,0,2,7,4,8,9,2,11,17,"7-4","Y","N","N",7,2,"Brest-Monaco","Ruddy Buquet",88,2,24,120,3500,240,1320,2880,22,48,264,968,2640,0.6,0.9,0,1,0,0,5,1,0,2,0,10,10,50,60,110,1100,399,0,109,372,399,481,880,59,44,44,0,128
"9","F1",2024-04-28,"Rennes","Brest",4,5,"A",2,1,"H",2.28,3.39,3.33,"2-1","4-5",21,7,10,5,4,1,0,0,7,4,14,15,9,11,29,"7-4","Y","Y","Y",5,0,"Rennes-Brest","Benoît Bastien",429,9,117,50,400,450,550,5850,99,1053,1287,4719,4950,2.6,2,1,0,0,0,3,1,0,0,10,0,10,30,10,40,400,278,0,75,0,278,75,353,46,75,46,0,193
"10","F1",2024-05-04,"Brest","Nantes",0,0,"D",0,0,"D",1.74,3.72,5.16,"0-0","0-0",9,2,9,1,3,2,0,0,6,0,6,14,0,6,20,"6-0","N","N","N",5,0,"Brest-Nantes","Clément Turpin",0,0,0,50,600,0,300,0,0,0,0,0,0,0.5,1.6,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,167,0,143,0,167,143,310,21,54,21,0,43
"11","F1",2024-05-10,"Brest","Reims",1,1,"D",1,1,"D",1.7,4.01,5.2,"1-1","1-1",16,5,8,2,2,3,0,0,3,4,12,12,2,7,24,"3-4","Y","N","N",5,0,"Brest-Reims","Jérôme Brisard",70,2,18,50,600,100,350,900,14,36,126,490,700,1.3,0.6,0,2,0,0,2,1,0,0,0,20,20,20,10,30,600,168,0,117,0,168,117,285,73,9,9,0,76
"12","F1",2024-05-19,"Toulouse","Brest",0,3,"A",0,0,"D",3.84,3.95,1.9,"0-0","0-3",8,2,12,6,1,2,0,0,6,2,12,17,3,8,29,"6-2","Y","Y","N",3,0,"Toulouse-Brest","Jérémie Pignard",192,3,91,30,200,90,240,2730,24,273,728,1536,720,0.9,1.6,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,53,0,162,0,53,162,215,53,79,53,0,84
"13","F1",2024-05-19,"Toulouse","Brest",0,3,"A",0,0,"D",3.84,3.95,1.9,"0-0","0-3",8,2,12,6,1,2,0,0,6,2,12,17,3,8,29,"6-2","Y","Y","N",3,0,"Toulouse-Brest","Jérémie Pignard",172.75,3.5,69.4166666666667,63.75,1297.91666666667,253.75,620,4784.58333333333,33.25,327.833333333333,643.25,1713.25,2856.25,1.475,1.19166666666667,0.333333333333333,0.916666666666667,0,0,2,1.41666666666667,0.166666666666667,0.166666666666667,3.33333333333333,9.16666666666667,12.5,24.1666666666667,18.3333333333333,42.5,479.166666666667,157.166666666667,28.8333333333333,131.666666666667,31,186,162.666666666667,348.666666666667,45.5833333333333,34.5,26.0833333333333,0.25,113.083333333333
