"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-26,"Sociedad","Real Madrid",0,1,"A",0,1,"A",2.51,3.23,3.14,"0-1","0-1",9,3,5,3,3,4,0,0,11,3,13,11,1,14,24,"11-3","N","N","N",7,0,"Sociedad-Real Madrid","José Luis Munuera",29,1,24,70,1200,70,980,1680,14,24,336,406,980,0.6,0.4,1,1,0,0,2,3,0,0,10,10,20,20,30,50,1000,197,0,242,0,197,242,439,40,15,15,0,92
"2","SP1",2024-05-04,"Real Madrid","Cadiz",3,0,"H",0,0,"D",1.35,5.53,8.54,"0-0","3-0",19,9,7,2,0,1,0,0,7,4,6,12,3,11,18,"7-4","Y","Y","N",1,0,"Real Madrid-Cadiz","Javier Villanueva",209,3,40,10,0,30,110,400,33,120,440,2299,330,2.3,0.9,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,38,0,0,38,38,0,38,0,0,83
"3","SP1",2024-05-11,"Granada","Real Madrid",0,4,"A",0,2,"A",5.32,4.58,1.54,"0-2","0-4",12,1,13,7,2,0,0,0,8,5,11,10,4,13,21,"8-5","Y","Y","Y",2,0,"Granada-Real Madrid","Pablo González",190,4,86,20,0,80,260,1720,52,344,1118,2470,1040,1,1.5,2,0,0,0,0,0,0,0,20,0,20,0,0,0,0,70,0,0,0,70,0,70,25,0,0,0,109
"4","SP1",2024-05-14,"Real Madrid","Alaves",5,0,"H",3,0,"H",1.21,7.35,14.08,"3-0","5-0",22,11,18,10,1,1,0,0,4,1,6,12,5,5,18,"4-1","Y","Y","Y",2,0,"Real Madrid-Alaves","Mateo Busquets",233,5,58,20,100,100,100,1160,25,290,290,1165,500,2.5,1.3,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,52,0,50,0,52,50,102,52,50,50,0,100
"5","SP1",2024-05-19,"Villarreal","Real Madrid",4,4,"D",1,4,"A",3.2,3.85,2.09,"1-4","4-4",21,7,12,6,3,2,0,0,3,3,15,12,8,6,27,"3-3","Y","Y","Y",5,0,"Villarreal-Real Madrid","Alejandro Hernández",324,8,123,50,600,400,300,6150,48,984,738,1944,2400,1.7,1,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,134,0,152,0,134,152,286,50,66,50,0,163
"6","SP1",2024-05-25,"Real Madrid","Betis",0,0,"D",0,0,"D",1.35,5.67,7.79,"0-0","0-0",13,5,11,3,2,1,0,0,4,5,8,11,0,9,19,"4-5","N","N","N",3,0,"Real Madrid-Betis","Isidro Díaz de Mera",0,0,0,30,200,0,270,0,0,0,0,0,0,1,0.7,1,0,0,0,1,1,0,0,10,0,10,10,10,20,200,77,0,84,0,77,84,161,5,84,5,0,42
"7","SP1",2024-05-25,"Real Madrid","Betis",0,0,"D",0,0,"D",1.35,5.67,7.79,"0-0","0-0",13,5,11,3,2,1,0,0,4,5,8,11,0,9,19,"4-5","N","N","N",3,0,"Real Madrid-Betis","Isidro Díaz de Mera",164.166666666667,3.5,55.1666666666667,33.3333333333333,350,113.333333333333,336.666666666667,1851.66666666667,28.6666666666667,293.666666666667,487,1380.66666666667,875,1.51666666666667,0.966666666666667,0.833333333333333,0.333333333333333,0,0,0.833333333333333,1.16666666666667,0,0,8.33333333333333,3.33333333333333,11.6666666666667,8.33333333333333,11.6666666666667,20,250,88.3333333333333,0,94.3333333333333,0,88.3333333333333,94.3333333333333,182.666666666667,28.6666666666667,42.1666666666667,20,0,98.1666666666667
