"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-28,"Villarreal","Vallecano",3,0,"H",1,0,"H",1.74,3.93,4.84,"1-0","3-0",15,7,20,4,2,1,0,0,3,6,15,8,3,9,23,"3-6","Y","Y","N",3,0,"Villarreal-Vallecano","Pablo González",161,3,24,30,200,90,270,720,27,72,216,1449,810,1.4,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,167,0,78,0,167,78,245,77,78,77,0,87
"2","SP1",2024-05-05,"Celta","Villarreal",3,2,"H",2,1,"H",2.44,3.69,2.84,"2-1","3-2",23,7,11,3,4,0,0,1,2,1,11,5,5,3,16,"2-1","Y","Y","Y",4,1,"Celta-Villarreal","César Soto",219,5,67,65,1000,325,195,4355,15,335,201,657,975,3.9,0.6,2,0,0,1,2,0,0,0,20,25,45,20,0,20,900,207,0,0,34,207,34,241,25,0,0,1,129
"3","SP1",2024-05-11,"Villarreal","Sevilla",3,2,"H",1,2,"A",1.84,3.94,3.91,"1-2","3-2",25,7,8,4,3,5,0,0,10,1,12,14,5,11,26,"10-1","Y","Y","Y",8,0,"Villarreal-Sevilla","Isidro Díaz de Mera",274,5,54,80,1500,400,880,4320,55,270,594,3014,4400,3.1,1.7,0,1,0,0,3,4,0,0,0,10,10,30,40,70,700,227,0,367,0,227,367,594,63,17,17,1,158
"4","SP1",2024-05-14,"Girona","Villarreal",0,1,"A",0,0,"D",1.72,4.58,4.36,"0-0","0-1",22,5,11,3,1,5,0,1,5,1,3,14,1,6,17,"5-1","N","N","N",6,1,"Girona-Villarreal","José Sánchez",59,1,25,85,750,85,510,2125,6,25,150,354,510,1.6,0.6,1,2,0,0,0,2,0,0,10,20,30,0,20,20,600,36,0,233,0,36,233,269,36,41,36,0,78
"5","SP1",2024-05-19,"Villarreal","Real Madrid",4,4,"D",1,4,"A",3.2,3.85,2.09,"1-4","4-4",21,7,12,6,3,2,0,0,3,3,15,12,8,6,27,"3-3","Y","Y","Y",5,0,"Villarreal-Real Madrid","Alejandro Hernández",324,8,123,50,600,400,300,6150,48,984,738,1944,2400,1.7,1,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,134,0,152,0,134,152,286,50,66,50,0,163
"6","SP1",2024-05-25,"Osasuna","Villarreal",1,1,"D",1,0,"H",2.9,3.78,2.33,"1-0","1-1",12,6,11,3,4,3,0,0,6,4,13,6,2,10,19,"6-4","Y","N","N",7,0,"Osasuna-Villarreal","Mario Melero",87,2,32,70,1200,140,700,2240,20,64,320,870,1400,0.9,1.6,1,2,0,0,3,1,0,0,10,20,30,30,10,40,1200,293,0,138,0,293,138,431,34,10,10,0,95
"7","SP1",2024-04-27,"Ath Madrid","Ath Bilbao",3,1,"H",1,1,"D",1.97,3.57,4.05,"1-1","3-1",8,3,7,1,3,2,0,0,3,5,16,15,4,8,31,"3-5","Y","Y","Y",5,0,"Ath Madrid-Ath Bilbao","Juan Martínez",192,4,27,50,600,200,400,1350,32,108,216,1536,1600,0.8,1,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,192,0,130,0,192,130,322,5,59,5,0,109
"8","SP1",2024-05-04,"Mallorca","Ath Madrid",0,1,"A",0,1,"A",3.82,3.16,2.19,"0-1","0-1",7,4,9,4,2,0,0,0,6,2,12,7,1,8,19,"6-2","N","N","N",2,0,"Mallorca-Ath Madrid","Alberola Rojas",5,1,17,20,0,20,160,340,8,17,136,40,160,0.2,0.7,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,146,0,0,0,146,0,146,71,0,0,0,49
"9","SP1",2024-05-12,"Ath Madrid","Celta",1,0,"H",0,0,"D",1.43,4.22,8.29,"0-0","1-0",21,8,6,2,1,1,0,0,4,7,7,9,1,11,16,"4-7","N","N","N",2,0,"Ath Madrid-Celta","Jorge Figueroa",84,1,5,20,100,20,220,100,11,5,55,924,220,1.4,0.4,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,72,0,36,0,72,36,108,72,36,36,0,58
"10","SP1",2024-05-15,"Getafe","Ath Madrid",0,3,"A",0,2,"A",4.78,3.53,1.78,"0-2","0-3",8,3,7,3,4,3,0,0,6,3,17,7,3,9,24,"6-3","Y","Y","N",7,0,"Getafe-Ath Madrid","Mario Melero",120,3,21,70,1200,210,630,1470,27,63,189,1080,1890,0.6,1.3,1,1,0,0,3,2,0,0,10,10,20,30,20,50,1000,248,0,182,0,248,182,430,14,17,14,0,107
