"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-27,"Las Palmas","Girona",0,2,"A",0,1,"A",4.49,4.04,1.77,"0-1","0-2",10,5,6,3,1,3,0,0,4,2,12,10,2,6,22,"4-2","Y","N","N",4,0,"Las Palmas-Girona","Jorge Figueroa",83,2,14,40,300,80,240,560,12,28,84,498,480,1.6,1.9,2,2,0,0,0,1,0,0,20,20,40,0,10,10,400,88,0,145,0,88,145,233,39,37,37,3,98
"2","SP1",2024-05-04,"Girona","Barcelona",4,2,"H",1,2,"A",2.75,3.87,2.43,"1-2","4-2",9,7,16,7,0,3,0,0,5,4,11,8,6,9,19,"5-4","Y","Y","Y",3,0,"Girona-Barcelona","Alejandro Hernández",258,6,60,30,0,180,270,1800,54,360,540,2322,1620,1.8,2.6,0,3,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,110,0,0,110,110,0,28,0,1,142
"3","SP1",2024-05-10,"Alaves","Girona",2,2,"D",1,2,"A",3.57,3.63,2.12,"1-2","2-2",14,8,15,5,3,2,0,0,5,3,13,6,4,8,19,"5-3","Y","Y","Y",5,0,"Alaves-Girona","José Luis Munuera",150,4,82,50,600,200,400,4100,32,328,656,1200,1600,1.7,1.7,0,0,0,0,3,2,0,0,0,0,0,30,20,50,0,286,0,186,0,286,186,472,94,88,88,0,109
"4","SP1",2024-05-14,"Girona","Villarreal",0,1,"A",0,0,"D",1.72,4.58,4.36,"0-0","0-1",22,5,11,3,1,5,0,1,5,1,3,14,1,6,17,"5-1","N","N","N",6,1,"Girona-Villarreal","José Sánchez",59,1,25,85,750,85,510,2125,6,25,150,354,510,1.6,0.6,1,2,0,0,0,2,0,0,10,20,30,0,20,20,600,36,0,233,0,36,233,269,36,41,36,0,78
"5","SP1",2024-05-19,"Valencia","Girona",1,3,"A",0,1,"A",3.05,3.58,2.25,"0-1","1-3",20,6,18,5,2,0,0,0,5,4,10,8,4,9,18,"5-4","Y","Y","Y",2,0,"Valencia-Girona","Guillermo Cuadra",241,4,77,20,0,80,180,1540,36,308,693,2169,720,3.2,2.6,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,118,0,0,0,118,0,118,26,0,0,1,107
"6","SP1",2024-05-24,"Girona","Granada",7,0,"H",3,0,"H",1.22,7.22,10.68,"3-0","7-0",16,9,10,2,3,5,0,1,4,2,6,13,7,6,19,"4-2","Y","Y","Y",8,1,"Girona-Granada","Alejandro Muñíz",404,7,75,105,2250,735,630,7875,42,525,450,2424,4410,4.6,1,2,3,0,0,1,1,0,0,20,30,50,10,10,20,1000,163,0,180,0,163,180,343,32,36,32,2,198
"7","SP1",2024-04-27,"Alaves","Celta",3,0,"H",0,0,"D",2.7,3.09,2.95,"0-0","3-0",16,8,4,0,3,3,0,0,8,3,10,9,3,11,19,"8-3","Y","Y","N",6,0,"Alaves-Celta","Juan Pulido",188,3,61,60,900,180,660,3660,33,183,671,2068,1980,2.3,0.2,2,1,0,0,1,2,0,0,20,10,30,10,20,30,900,120,0,195,0,120,195,315,20,21,20,0,108
"8","SP1",2024-05-05,"Celta","Villarreal",3,2,"H",2,1,"H",2.44,3.69,2.84,"2-1","3-2",23,7,11,3,4,0,0,1,2,1,11,5,5,3,16,"2-1","Y","Y","Y",4,1,"Celta-Villarreal","César Soto",219,5,67,65,1000,325,195,4355,15,335,201,657,975,3.9,0.6,2,0,0,1,2,0,0,0,20,25,45,20,0,20,900,207,0,0,34,207,34,241,25,0,0,1,129
"9","SP1",2024-05-12,"Ath Madrid","Celta",1,0,"H",0,0,"D",1.43,4.22,8.29,"0-0","1-0",21,8,6,2,1,1,0,0,4,7,7,9,1,11,16,"4-7","N","N","N",2,0,"Ath Madrid-Celta","Jorge Figueroa",84,1,5,20,100,20,220,100,11,5,55,924,220,1.4,0.4,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,72,0,36,0,72,36,108,72,36,36,0,58
"10","SP1",2024-05-15,"Celta","Ath Bilbao",2,1,"H",0,1,"A",2.6,3.35,2.73,"0-1","2-1",10,4,7,2,2,0,0,0,2,3,15,14,3,5,29,"2-3","Y","Y","N",2,0,"Celta-Ath Bilbao","Víctor García",162,3,49,20,0,60,100,980,15,147,245,810,300,0.7,0.2,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,175,0,0,0,175,0,175,80,0,0,0,70
