"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-27,"Alaves","Celta",3,0,"H",0,0,"D",2.7,3.09,2.95,"0-0","3-0",16,8,4,0,3,3,0,0,8,3,10,9,3,11,19,"8-3","Y","Y","N",6,0,"Alaves-Celta","Juan Pulido",188,3,61,60,900,180,660,3660,33,183,671,2068,1980,2.3,0.2,2,1,0,0,1,2,0,0,20,10,30,10,20,30,900,120,0,195,0,120,195,315,20,21,20,0,108
"2","SP1",2024-05-05,"Valencia","Alaves",0,1,"A",0,0,"D",2.15,2.93,4.37,"0-0","0-1",13,1,14,4,1,3,0,0,5,7,9,17,1,12,26,"5-7","N","N","N",4,0,"Valencia-Alaves","Mario Melero",68,1,27,40,300,40,480,1080,12,27,324,816,480,0.9,0.8,0,2,0,0,1,1,0,0,0,20,20,10,10,20,400,78,0,110,0,78,110,188,78,11,11,0,71
"3","SP1",2024-05-10,"Alaves","Girona",2,2,"D",1,2,"A",3.57,3.63,2.12,"1-2","2-2",14,8,15,5,3,2,0,0,5,3,13,6,4,8,19,"5-3","Y","Y","Y",5,0,"Alaves-Girona","José Luis Munuera",150,4,82,50,600,200,400,4100,32,328,656,1200,1600,1.7,1.7,0,0,0,0,3,2,0,0,0,0,0,30,20,50,0,286,0,186,0,286,186,472,94,88,88,0,109
"4","SP1",2024-05-14,"Real Madrid","Alaves",5,0,"H",3,0,"H",1.21,7.35,14.08,"3-0","5-0",22,11,18,10,1,1,0,0,4,1,6,12,5,5,18,"4-1","Y","Y","Y",2,0,"Real Madrid-Alaves","Mateo Busquets",233,5,58,20,100,100,100,1160,25,290,290,1165,500,2.5,1.3,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,52,0,50,0,52,50,102,52,50,50,0,100
"5","SP1",2024-05-18,"Alaves","Getafe",1,0,"H",1,0,"H",2.07,3.18,4.21,"1-0","1-0",9,2,10,4,5,7,0,1,2,1,13,27,1,3,40,"2-1","N","N","N",12,1,"Alaves-Getafe","Jorge Figueroa",12,1,22,145,4750,145,435,3190,3,22,66,36,435,1.2,0.3,2,3,0,0,3,3,0,0,20,30,50,30,30,60,3000,277,0,299,0,277,299,576,15,11,11,0,99
"6","SP1",2024-05-26,"Las Palmas","Alaves",1,1,"D",0,0,"D",2.53,3.34,2.91,"0-0","1-1",10,4,14,4,2,1,0,0,2,6,16,10,2,8,26,"2-6","Y","N","N",3,0,"Las Palmas-Alaves","Francisco Hernández",121,2,41,30,200,60,240,1230,16,82,328,968,480,1,2.5,0,1,0,0,2,0,0,0,0,10,10,20,0,20,200,150,0,37,0,150,37,187,74,37,37,1,79
"7","SP1",2024-04-27,"Las Palmas","Girona",0,2,"A",0,1,"A",4.49,4.04,1.77,"0-1","0-2",10,5,6,3,1,3,0,0,4,2,12,10,2,6,22,"4-2","Y","N","N",4,0,"Las Palmas-Girona","Jorge Figueroa",83,2,14,40,300,80,240,560,12,28,84,498,480,1.6,1.9,2,2,0,0,0,1,0,0,20,20,40,0,10,10,400,88,0,145,0,88,145,233,39,37,37,3,98
"8","SP1",2024-05-04,"Sociedad","Las Palmas",2,0,"H",2,0,"H",1.36,5.08,9.57,"2-0","2-0",9,4,7,1,2,1,0,0,7,2,12,11,2,9,23,"7-2","Y","N","N",3,0,"Sociedad-Las Palmas","Miguel Ángel Ortiz Arias",78,2,15,30,200,60,270,450,18,30,135,702,540,0.6,0.5,2,0,0,0,0,1,0,0,20,0,20,0,10,10,200,57,0,67,0,57,67,124,17,67,17,0,72
"9","SP1",2024-05-11,"Mallorca","Las Palmas",1,0,"H",1,0,"H",1.62,3.32,7.34,"1-0","1-0",7,2,7,1,6,2,0,0,2,2,18,10,1,4,28,"2-2","N","N","N",8,0,"Mallorca-Las Palmas","Juan Martínez",29,1,20,80,1200,80,320,1600,4,20,80,116,320,0.3,0.4,2,0,0,0,4,2,0,0,20,0,20,40,20,60,1200,373,0,151,0,373,151,524,14,58,14,0,67
"10","SP1",2024-05-16,"Las Palmas","Betis",2,2,"D",1,1,"D",4.14,3.67,1.92,"1-1","2-2",16,9,6,4,2,1,0,0,4,8,9,12,4,12,21,"4-8","Y","Y","Y",3,0,"Las Palmas-Betis","Javier Villanueva",161,4,39,30,200,120,360,1170,48,156,468,1932,1440,2.3,1.3,1,1,0,0,1,0,0,0,10,10,20,10,0,10,200,75,0,26,0,75,26,101,5,26,5,0,111
