"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-26,"Sociedad","Real Madrid",0,1,"A",0,1,"A",2.51,3.23,3.14,"0-1","0-1",9,3,5,3,3,4,0,0,11,3,13,11,1,14,24,"11-3","N","N","N",7,0,"Sociedad-Real Madrid","José Luis Munuera",29,1,24,70,1200,70,980,1680,14,24,336,406,980,0.6,0.4,1,1,0,0,2,3,0,0,10,10,20,20,30,50,1000,197,0,242,0,197,242,439,40,15,15,0,92
"2","SP1",2024-05-04,"Sociedad","Las Palmas",2,0,"H",2,0,"H",1.36,5.08,9.57,"2-0","2-0",9,4,7,1,2,1,0,0,7,2,12,11,2,9,23,"7-2","Y","N","N",3,0,"Sociedad-Las Palmas","Miguel Ángel Ortiz Arias",78,2,15,30,200,60,270,450,18,30,135,702,540,0.6,0.5,2,0,0,0,0,1,0,0,20,0,20,0,10,10,200,57,0,67,0,57,67,124,17,67,17,0,72
"3","SP1",2024-05-13,"Barcelona","Sociedad",2,0,"H",1,0,"H",1.79,3.74,4.39,"1-0","2-0",14,5,10,3,2,3,0,0,6,2,12,14,2,8,26,"6-2","Y","N","N",5,0,"Barcelona-Sociedad","Guillermo Cuadra",130,2,38,50,600,100,400,1900,16,76,304,1040,800,2.1,0.7,0,0,0,0,2,3,0,0,0,0,0,20,30,50,0,145,0,213,0,145,213,358,51,57,51,1,89
"4","SP1",2024-05-16,"Sociedad","Valencia",1,0,"H",1,0,"H",1.66,3.75,6,"1-0","1-0",10,5,7,3,0,2,0,0,3,3,11,13,1,6,24,"3-3","N","N","N",2,0,"Sociedad-Valencia","César Soto",3,1,21,20,0,20,120,420,6,21,126,18,120,1.3,0.8,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,123,0,0,123,123,0,29,0,0,43
"5","SP1",2024-05-19,"Betis","Sociedad",0,2,"A",0,2,"A",2.66,3.06,2.89,"0-2","0-2",18,9,5,2,3,4,0,0,6,2,12,18,2,8,30,"6-2","Y","N","N",7,0,"Betis-Sociedad","Juan Martínez",47,2,31,70,1200,140,560,2170,16,62,248,376,1120,1.7,0.4,0,0,0,0,3,4,0,0,0,0,0,30,40,70,0,232,0,295,0,232,295,527,58,52,52,1,99
"6","SP1",2024-05-25,"Sociedad","Ath Madrid",0,2,"A",0,1,"A",2.42,3.49,2.96,"0-1","0-2",14,4,10,4,3,5,0,1,8,4,19,15,2,12,34,"8-4","Y","N","N",8,1,"Sociedad-Ath Madrid","José Sánchez",99,2,35,105,2250,210,1260,3675,24,70,420,1188,2520,0.6,2.2,1,2,0,0,2,2,0,0,10,20,30,20,20,40,1200,194,0,253,0,194,253,447,47,41,41,0,121
"7","SP1",2024-04-28,"Villarreal","Vallecano",3,0,"H",1,0,"H",1.74,3.93,4.84,"1-0","3-0",15,7,20,4,2,1,0,0,3,6,15,8,3,9,23,"3-6","Y","Y","N",3,0,"Villarreal-Vallecano","Pablo González",161,3,24,30,200,90,270,720,27,72,216,1449,810,1.4,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,167,0,78,0,167,78,245,77,78,77,0,87
"8","SP1",2024-05-05,"Vallecano","Almeria",0,1,"A",0,1,"A",1.6,4.2,5.76,"0-1","0-1",27,10,7,2,3,2,0,0,9,2,17,15,1,11,32,"9-2","N","N","N",5,0,"Vallecano-Almeria","Francisco Hernández",30,1,15,50,600,50,550,750,11,15,165,330,550,1.4,0.4,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,199,0,173,0,199,173,372,26,79,26,0,73
"9","SP1",2024-05-12,"Valencia","Vallecano",0,0,"D",0,0,"D",2.27,3,3.63,"0-0","0-0",13,5,12,1,1,2,0,0,6,3,14,21,0,9,35,"6-3","N","N","N",3,0,"Valencia-Vallecano","Juan Pulido",0,0,0,30,200,0,270,0,0,0,0,0,0,1.3,0.6,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,58,0,126,0,58,126,184,58,32,32,0,42
"10","SP1",2024-05-15,"Vallecano","Granada",2,1,"H",1,0,"H",1.68,3.79,5.66,"1-0","2-1",18,9,10,1,4,3,1,0,6,6,12,17,3,12,29,"6-6","Y","Y","N",7,1,"Vallecano-Granada","Isidro Díaz de Mera",192,3,50,95,1950,285,1140,4750,36,150,600,2304,3420,2.5,1.2,1,1,1,0,3,2,0,0,35,10,45,30,20,50,2250,275,10,215,0,285,215,500,31,42,31,0,131
"11","SP1",2024-05-19,"Barcelona","Vallecano",3,0,"H",1,0,"H",1.26,5.94,9.7,"1-0","3-0",14,6,15,4,4,2,0,0,7,5,10,7,3,12,17,"7-5","Y","Y","N",6,0,"Barcelona-Vallecano","Jesús Gil",150,3,25,60,800,180,720,1500,36,75,300,1800,2160,1.3,1.3,3,1,0,0,1,1,0,0,30,10,40,10,10,20,800,170,0,73,0,170,73,243,10,23,10,0,111
"12","SP1",2024-05-25,"Vallecano","Ath Bilbao",0,1,"A",0,0,"D",2.87,3.54,2.45,"0-0","0-1",17,4,7,1,1,1,0,0,8,2,6,13,1,10,19,"8-2","N","N","N",2,0,"Vallecano-Ath Bilbao","José Luis Munuera",67,1,11,20,100,20,200,220,10,11,110,670,200,1.1,0.9,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,84,0,44,0,84,44,128,84,44,44,0,55
"13","SP1",2024-05-25,"Vallecano","Ath Bilbao",0,1,"A",0,0,"D",2.87,3.54,2.45,"0-0","0-1",17,4,7,1,1,1,0,0,8,2,6,13,1,10,19,"8-2","N","N","N",2,0,"Vallecano-Ath Bilbao","José Luis Munuera",82.1666666666667,1.75,24.0833333333333,52.5,775,102.083333333333,561.666666666667,1519.58333333333,17.8333333333333,50.5,246.666666666667,856.916666666667,1101.66666666667,1.325,0.866666666666667,0.75,0.666666666666667,0.0833333333333333,0,1.58333333333333,1.75,0,0,9.58333333333333,6.66666666666667,16.25,15.8333333333333,17.5,33.3333333333333,520.833333333333,148.166666666667,0.833333333333333,158.5,0,149,158.5,307.5,41.5833333333333,46.5833333333333,33,0.166666666666667,84.5833333333333
