"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-27,"Alaves","Celta",3,0,"H",0,0,"D",2.7,3.09,2.95,"0-0","3-0",16,8,4,0,3,3,0,0,8,3,10,9,3,11,19,"8-3","Y","Y","N",6,0,"Alaves-Celta","Juan Pulido",188,3,61,60,900,180,660,3660,33,183,671,2068,1980,2.3,0.2,2,1,0,0,1,2,0,0,20,10,30,10,20,30,900,120,0,195,0,120,195,315,20,21,20,0,108
"2","SP1",2024-05-05,"Celta","Villarreal",3,2,"H",2,1,"H",2.44,3.69,2.84,"2-1","3-2",23,7,11,3,4,0,0,1,2,1,11,5,5,3,16,"2-1","Y","Y","Y",4,1,"Celta-Villarreal","César Soto",219,5,67,65,1000,325,195,4355,15,335,201,657,975,3.9,0.6,2,0,0,1,2,0,0,0,20,25,45,20,0,20,900,207,0,0,34,207,34,241,25,0,0,1,129
"3","SP1",2024-05-12,"Ath Madrid","Celta",1,0,"H",0,0,"D",1.43,4.22,8.29,"0-0","1-0",21,8,6,2,1,1,0,0,4,7,7,9,1,11,16,"4-7","N","N","N",2,0,"Ath Madrid-Celta","Jorge Figueroa",84,1,5,20,100,20,220,100,11,5,55,924,220,1.4,0.4,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,72,0,36,0,72,36,108,72,36,36,0,58
"4","SP1",2024-05-15,"Celta","Ath Bilbao",2,1,"H",0,1,"A",2.6,3.35,2.73,"0-1","2-1",10,4,7,2,2,0,0,0,2,3,15,14,3,5,29,"2-3","Y","Y","N",2,0,"Celta-Ath Bilbao","Víctor García",162,3,49,20,0,60,100,980,15,147,245,810,300,0.7,0.2,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,175,0,0,0,175,0,175,80,0,0,0,70
"5","SP1",2024-05-19,"Granada","Celta",1,2,"A",0,0,"D",3.81,3.53,1.98,"0-0","1-2",11,3,8,5,2,1,0,0,10,2,15,12,3,12,27,"10-2","Y","Y","N",3,0,"Granada-Celta","Alberola Rojas",210,3,37,30,200,90,360,1110,36,111,444,2520,1080,1.9,1.7,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,138,0,68,0,138,68,206,66,68,66,1,106
"6","SP1",2024-05-26,"Celta","Valencia",2,2,"D",0,1,"A",1.96,3.57,3.99,"0-1","2-2",9,4,12,1,0,0,0,0,2,2,17,18,4,4,35,"2-2","Y","Y","Y",0,0,"Celta-Valencia","Miguel Ángel Ortiz Arias",176,4,72,0,0,0,0,0,16,288,288,704,0,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92
"7","SP1",2024-04-27,"Alaves","Celta",3,0,"H",0,0,"D",2.7,3.09,2.95,"0-0","3-0",16,8,4,0,3,3,0,0,8,3,10,9,3,11,19,"8-3","Y","Y","N",6,0,"Alaves-Celta","Juan Pulido",188,3,61,60,900,180,660,3660,33,183,671,2068,1980,2.3,0.2,2,1,0,0,1,2,0,0,20,10,30,10,20,30,900,120,0,195,0,120,195,315,20,21,20,0,108
"8","SP1",2024-05-05,"Valencia","Alaves",0,1,"A",0,0,"D",2.15,2.93,4.37,"0-0","0-1",13,1,14,4,1,3,0,0,5,7,9,17,1,12,26,"5-7","N","N","N",4,0,"Valencia-Alaves","Mario Melero",68,1,27,40,300,40,480,1080,12,27,324,816,480,0.9,0.8,0,2,0,0,1,1,0,0,0,20,20,10,10,20,400,78,0,110,0,78,110,188,78,11,11,0,71
"9","SP1",2024-05-10,"Alaves","Girona",2,2,"D",1,2,"A",3.57,3.63,2.12,"1-2","2-2",14,8,15,5,3,2,0,0,5,3,13,6,4,8,19,"5-3","Y","Y","Y",5,0,"Alaves-Girona","José Luis Munuera",150,4,82,50,600,200,400,4100,32,328,656,1200,1600,1.7,1.7,0,0,0,0,3,2,0,0,0,0,0,30,20,50,0,286,0,186,0,286,186,472,94,88,88,0,109
"10","SP1",2024-05-14,"Real Madrid","Alaves",5,0,"H",3,0,"H",1.21,7.35,14.08,"3-0","5-0",22,11,18,10,1,1,0,0,4,1,6,12,5,5,18,"4-1","Y","Y","Y",2,0,"Real Madrid-Alaves","Mateo Busquets",233,5,58,20,100,100,100,1160,25,290,290,1165,500,2.5,1.3,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,52,0,50,0,52,50,102,52,50,50,0,100
"11","SP1",2024-05-18,"Alaves","Getafe",1,0,"H",1,0,"H",2.07,3.18,4.21,"1-0","1-0",9,2,10,4,5,7,0,1,2,1,13,27,1,3,40,"2-1","N","N","N",12,1,"Alaves-Getafe","Jorge Figueroa",12,1,22,145,4750,145,435,3190,3,22,66,36,435,1.2,0.3,2,3,0,0,3,3,0,0,20,30,50,30,30,60,3000,277,0,299,0,277,299,576,15,11,11,0,99
"12","SP1",2024-05-26,"Las Palmas","Alaves",1,1,"D",0,0,"D",2.53,3.34,2.91,"0-0","1-1",10,4,14,4,2,1,0,0,2,6,16,10,2,8,26,"2-6","Y","N","N",3,0,"Las Palmas-Alaves","Francisco Hernández",121,2,41,30,200,60,240,1230,16,82,328,968,480,1,2.5,0,1,0,0,2,0,0,0,0,10,10,20,0,20,200,150,0,37,0,150,37,187,74,37,37,1,79
"13","SP1",2024-05-26,"Las Palmas","Alaves",1,1,"D",0,0,"D",2.53,3.34,2.91,"0-0","1-1",10,4,14,4,2,1,0,0,2,6,16,10,2,8,26,"2-6","Y","N","N",3,0,"Las Palmas-Alaves","Francisco Hernández",150.916666666667,2.91666666666667,48.5,45,754.166666666667,116.666666666667,320.833333333333,2052.08333333333,20.5833333333333,166.75,353.25,1161.33333333333,835.833333333333,1.775,0.991666666666667,0.666666666666667,0.75,0,0.0833333333333333,1.58333333333333,1,0,0,6.66666666666667,9.58333333333333,16.25,15.8333333333333,10,25.8333333333333,533.333333333333,139.583333333333,0,98,2.83333333333333,139.583333333333,100.833333333333,240.416666666667,49.6666666666667,28.5833333333333,28.25,0.416666666666667,94.0833333333333
