"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-28,"Cadiz","Mallorca",1,1,"D",0,1,"A",2.69,2.85,3.23,"0-1","1-1",10,2,9,2,3,2,0,0,3,1,14,21,2,4,35,"3-1","Y","N","N",5,0,"Cadiz-Mallorca","Isidro Díaz de Mera",71,2,12,50,600,100,200,600,8,24,48,284,400,0.4,0.9,2,1,0,0,1,1,0,0,20,10,30,10,10,20,600,146,0,100,0,146,100,246,32,47,32,0,67
"2","SP1",2024-05-04,"Mallorca","Ath Madrid",0,1,"A",0,1,"A",3.82,3.16,2.19,"0-1","0-1",7,4,9,4,2,0,0,0,6,2,12,7,1,8,19,"6-2","N","N","N",2,0,"Mallorca-Ath Madrid","Alberola Rojas",5,1,17,20,0,20,160,340,8,17,136,40,160,0.2,0.7,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,146,0,0,0,146,0,146,71,0,0,0,49
"3","SP1",2024-05-11,"Mallorca","Las Palmas",1,0,"H",1,0,"H",1.62,3.32,7.34,"1-0","1-0",7,2,7,1,6,2,0,0,2,2,18,10,1,4,28,"2-2","N","N","N",8,0,"Mallorca-Las Palmas","Juan Martínez",29,1,20,80,1200,80,320,1600,4,20,80,116,320,0.3,0.4,2,0,0,0,4,2,0,0,20,0,20,40,20,60,1200,373,0,151,0,373,151,524,14,58,14,0,67
"4","SP1",2024-05-14,"Osasuna","Mallorca",1,1,"D",1,0,"H",2.88,2.92,2.96,"1-0","1-1",10,4,10,4,0,1,0,0,2,4,12,11,2,6,23,"2-4","Y","N","N",1,0,"Osasuna-Mallorca","Francisco Hernández",79,2,17,10,0,20,60,170,12,34,102,474,120,0.4,1,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,35,0,0,35,35,0,35,0,0,53
"5","SP1",2024-05-19,"Mallorca","Almeria",2,2,"D",1,1,"D",1.48,4.23,6.88,"1-1","2-2",29,8,7,3,2,3,0,0,12,2,9,9,4,14,18,"12-2","Y","Y","Y",5,0,"Mallorca-Almeria","Ricardo de Burgos",219,4,70,50,600,200,700,3500,56,280,980,3066,2800,3,0.4,2,1,0,0,0,2,0,0,20,10,30,0,20,20,600,55,0,173,0,55,173,228,18,47,18,0,127
"6","SP1",2024-05-26,"Getafe","Mallorca",1,2,"A",0,0,"D",2.35,3.21,3.31,"0-0","1-2",16,6,9,4,0,2,0,0,3,4,12,10,3,7,22,"3-4","Y","Y","N",2,0,"Getafe-Mallorca","Víctor García",228,3,26,20,0,60,140,520,21,78,182,1596,420,0.9,1.4,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,103,0,0,103,103,0,30,0,0,76
"7","SP1",2024-04-26,"Sociedad","Real Madrid",0,1,"A",0,1,"A",2.51,3.23,3.14,"0-1","0-1",9,3,5,3,3,4,0,0,11,3,13,11,1,14,24,"11-3","N","N","N",7,0,"Sociedad-Real Madrid","José Luis Munuera",29,1,24,70,1200,70,980,1680,14,24,336,406,980,0.6,0.4,1,1,0,0,2,3,0,0,10,10,20,20,30,50,1000,197,0,242,0,197,242,439,40,15,15,0,92
"8","SP1",2024-05-04,"Real Madrid","Cadiz",3,0,"H",0,0,"D",1.35,5.53,8.54,"0-0","3-0",19,9,7,2,0,1,0,0,7,4,6,12,3,11,18,"7-4","Y","Y","N",1,0,"Real Madrid-Cadiz","Javier Villanueva",209,3,40,10,0,30,110,400,33,120,440,2299,330,2.3,0.9,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,38,0,0,38,38,0,38,0,0,83
"9","SP1",2024-05-11,"Granada","Real Madrid",0,4,"A",0,2,"A",5.32,4.58,1.54,"0-2","0-4",12,1,13,7,2,0,0,0,8,5,11,10,4,13,21,"8-5","Y","Y","Y",2,0,"Granada-Real Madrid","Pablo González",190,4,86,20,0,80,260,1720,52,344,1118,2470,1040,1,1.5,2,0,0,0,0,0,0,0,20,0,20,0,0,0,0,70,0,0,0,70,0,70,25,0,0,0,109
"10","SP1",2024-05-14,"Real Madrid","Alaves",5,0,"H",3,0,"H",1.21,7.35,14.08,"3-0","5-0",22,11,18,10,1,1,0,0,4,1,6,12,5,5,18,"4-1","Y","Y","Y",2,0,"Real Madrid-Alaves","Mateo Busquets",233,5,58,20,100,100,100,1160,25,290,290,1165,500,2.5,1.3,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,52,0,50,0,52,50,102,52,50,50,0,100
