"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-29,"Barcelona","Valencia",4,2,"H",1,2,"A",1.36,5.49,8.18,"1-2","4-2",27,13,5,3,1,0,0,1,15,1,12,5,6,16,17,"15-1","Y","Y","Y",1,1,"Barcelona-Valencia","Ricardo de Burgos",308,6,70,35,250,210,560,2450,96,420,1120,4928,3360,2.2,2.1,1,0,0,1,0,0,0,0,10,25,35,0,0,0,0,42,0,0,98,42,98,140,42,0,0,1,168
"2","SP1",2024-05-05,"Valencia","Alaves",0,1,"A",0,0,"D",2.15,2.93,4.37,"0-0","0-1",13,1,14,4,1,3,0,0,5,7,9,17,1,12,26,"5-7","N","N","N",4,0,"Valencia-Alaves","Mario Melero",68,1,27,40,300,40,480,1080,12,27,324,816,480,0.9,0.8,0,2,0,0,1,1,0,0,0,20,20,10,10,20,400,78,0,110,0,78,110,188,78,11,11,0,71
"3","SP1",2024-05-12,"Valencia","Vallecano",0,0,"D",0,0,"D",2.27,3,3.63,"0-0","0-0",13,5,12,1,1,2,0,0,6,3,14,21,0,9,35,"6-3","N","N","N",3,0,"Valencia-Vallecano","Juan Pulido",0,0,0,30,200,0,270,0,0,0,0,0,0,1.3,0.6,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,58,0,126,0,58,126,184,58,32,32,0,42
"4","SP1",2024-05-16,"Sociedad","Valencia",1,0,"H",1,0,"H",1.66,3.75,6,"1-0","1-0",10,5,7,3,0,2,0,0,3,3,11,13,1,6,24,"3-3","N","N","N",2,0,"Sociedad-Valencia","César Soto",3,1,21,20,0,20,120,420,6,21,126,18,120,1.3,0.8,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,123,0,0,123,123,0,29,0,0,43
"5","SP1",2024-05-19,"Valencia","Girona",1,3,"A",0,1,"A",3.05,3.58,2.25,"0-1","1-3",20,6,18,5,2,0,0,0,5,4,10,8,4,9,18,"5-4","Y","Y","Y",2,0,"Valencia-Girona","Guillermo Cuadra",241,4,77,20,0,80,180,1540,36,308,693,2169,720,3.2,2.6,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,118,0,0,0,118,0,118,26,0,0,1,107
"6","SP1",2024-05-26,"Celta","Valencia",2,2,"D",0,1,"A",1.96,3.57,3.99,"0-1","2-2",9,4,12,1,0,0,0,0,2,2,17,18,4,4,35,"2-2","Y","Y","Y",0,0,"Celta-Valencia","Miguel Ángel Ortiz Arias",176,4,72,0,0,0,0,0,16,288,288,704,0,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92
"7","SP1",2024-05-26,"Celta","Valencia",2,2,"D",0,1,"A",1.96,3.57,3.99,"0-1","2-2",9,4,12,1,0,0,0,0,2,2,17,18,4,4,35,"2-2","Y","Y","Y",0,0,"Celta-Valencia","Miguel Ángel Ortiz Arias",132.666666666667,2.66666666666667,44.5,24.1666666666667,125,58.3333333333333,268.333333333333,915,27.6666666666667,177.333333333333,425.166666666667,1439.16666666667,780,1.73333333333333,1.48333333333333,0.333333333333333,0.666666666666667,0,0.166666666666667,0.5,0.5,0,0,3.33333333333333,10.8333333333333,14.1666666666667,5,5,10,133.333333333333,49.3333333333333,0,59.8333333333333,16.3333333333333,49.3333333333333,76.1666666666667,125.5,34,12,7.16666666666667,0.666666666666667,87.1666666666667
