"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-28,"Villarreal","Vallecano",3,0,"H",1,0,"H",1.74,3.93,4.84,"1-0","3-0",15,7,20,4,2,1,0,0,3,6,15,8,3,9,23,"3-6","Y","Y","N",3,0,"Villarreal-Vallecano","Pablo González",161,3,24,30,200,90,270,720,27,72,216,1449,810,1.4,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,167,0,78,0,167,78,245,77,78,77,0,87
"2","SP1",2024-05-05,"Vallecano","Almeria",0,1,"A",0,1,"A",1.6,4.2,5.76,"0-1","0-1",27,10,7,2,3,2,0,0,9,2,17,15,1,11,32,"9-2","N","N","N",5,0,"Vallecano-Almeria","Francisco Hernández",30,1,15,50,600,50,550,750,11,15,165,330,550,1.4,0.4,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,199,0,173,0,199,173,372,26,79,26,0,73
"3","SP1",2024-05-12,"Valencia","Vallecano",0,0,"D",0,0,"D",2.27,3,3.63,"0-0","0-0",13,5,12,1,1,2,0,0,6,3,14,21,0,9,35,"6-3","N","N","N",3,0,"Valencia-Vallecano","Juan Pulido",0,0,0,30,200,0,270,0,0,0,0,0,0,1.3,0.6,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,58,0,126,0,58,126,184,58,32,32,0,42
"4","SP1",2024-05-15,"Vallecano","Granada",2,1,"H",1,0,"H",1.68,3.79,5.66,"1-0","2-1",18,9,10,1,4,3,1,0,6,6,12,17,3,12,29,"6-6","Y","Y","N",7,1,"Vallecano-Granada","Isidro Díaz de Mera",192,3,50,95,1950,285,1140,4750,36,150,600,2304,3420,2.5,1.2,1,1,1,0,3,2,0,0,35,10,45,30,20,50,2250,275,10,215,0,285,215,500,31,42,31,0,131
"5","SP1",2024-05-19,"Barcelona","Vallecano",3,0,"H",1,0,"H",1.26,5.94,9.7,"1-0","3-0",14,6,15,4,4,2,0,0,7,5,10,7,3,12,17,"7-5","Y","Y","N",6,0,"Barcelona-Vallecano","Jesús Gil",150,3,25,60,800,180,720,1500,36,75,300,1800,2160,1.3,1.3,3,1,0,0,1,1,0,0,30,10,40,10,10,20,800,170,0,73,0,170,73,243,10,23,10,0,111
"6","SP1",2024-05-25,"Vallecano","Ath Bilbao",0,1,"A",0,0,"D",2.87,3.54,2.45,"0-0","0-1",17,4,7,1,1,1,0,0,8,2,6,13,1,10,19,"8-2","N","N","N",2,0,"Vallecano-Ath Bilbao","José Luis Munuera",67,1,11,20,100,20,200,220,10,11,110,670,200,1.1,0.9,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,84,0,44,0,84,44,128,84,44,44,0,55
"7","SP1",2024-04-28,"Cadiz","Mallorca",1,1,"D",0,1,"A",2.69,2.85,3.23,"0-1","1-1",10,2,9,2,3,2,0,0,3,1,14,21,2,4,35,"3-1","Y","N","N",5,0,"Cadiz-Mallorca","Isidro Díaz de Mera",71,2,12,50,600,100,200,600,8,24,48,284,400,0.4,0.9,2,1,0,0,1,1,0,0,20,10,30,10,10,20,600,146,0,100,0,146,100,246,32,47,32,0,67
"8","SP1",2024-05-04,"Mallorca","Ath Madrid",0,1,"A",0,1,"A",3.82,3.16,2.19,"0-1","0-1",7,4,9,4,2,0,0,0,6,2,12,7,1,8,19,"6-2","N","N","N",2,0,"Mallorca-Ath Madrid","Alberola Rojas",5,1,17,20,0,20,160,340,8,17,136,40,160,0.2,0.7,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,146,0,0,0,146,0,146,71,0,0,0,49
"9","SP1",2024-05-11,"Mallorca","Las Palmas",1,0,"H",1,0,"H",1.62,3.32,7.34,"1-0","1-0",7,2,7,1,6,2,0,0,2,2,18,10,1,4,28,"2-2","N","N","N",8,0,"Mallorca-Las Palmas","Juan Martínez",29,1,20,80,1200,80,320,1600,4,20,80,116,320,0.3,0.4,2,0,0,0,4,2,0,0,20,0,20,40,20,60,1200,373,0,151,0,373,151,524,14,58,14,0,67
"10","SP1",2024-05-14,"Osasuna","Mallorca",1,1,"D",1,0,"H",2.88,2.92,2.96,"1-0","1-1",10,4,10,4,0,1,0,0,2,4,12,11,2,6,23,"2-4","Y","N","N",1,0,"Osasuna-Mallorca","Francisco Hernández",79,2,17,10,0,20,60,170,12,34,102,474,120,0.4,1,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,35,0,0,35,35,0,35,0,0,53
