"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","SP1",2024-04-27,"Almeria","Getafe",1,3,"A",1,1,"D",2.69,3.3,2.67,"1-1","1-3",21,11,8,5,5,4,1,0,9,2,15,31,4,11,46,"9-2","Y","Y","Y",9,1,"Almeria-Getafe","Guillermo Cuadra",177,4,46,115,3000,460,1265,5290,44,184,506,1947,5060,2.4,1.7,1,1,0,0,3,3,0,0,10,10,20,30,30,60,1200,229,0,264,0,229,264,493,38,26,26,0,153
"2","SP1",2024-05-03,"Getafe","Ath Bilbao",0,2,"A",0,1,"A",4.08,3.3,2.08,"0-1","0-2",34,9,7,2,0,2,0,2,10,6,6,9,2,16,15,"10-6","Y","N","N",2,2,"Getafe-Ath Bilbao","Jesús Gil",78,2,18,70,0,140,1120,1260,32,36,288,1248,2240,4.5,0.6,0,0,0,0,0,1,0,1,0,0,0,0,35,35,0,0,0,72,116,0,188,188,0,72,0,1,128
"3","SP1",2024-05-12,"Cadiz","Getafe",1,0,"H",1,0,"H",2.1,3.28,3.71,"1-0","1-0",13,6,10,4,5,2,0,0,6,2,23,16,1,8,39,"6-2","N","N","N",7,0,"Cadiz-Getafe","Ricardo de Burgos",35,1,4,70,1000,70,560,280,8,4,32,280,560,1.5,0.5,1,1,0,0,4,1,0,0,10,10,20,40,10,50,1000,335,0,91,0,335,91,426,39,34,34,1,84
"4","SP1",2024-05-15,"Getafe","Ath Madrid",0,3,"A",0,2,"A",4.78,3.53,1.78,"0-2","0-3",8,3,7,3,4,3,0,0,6,3,17,7,3,9,24,"6-3","Y","Y","N",7,0,"Getafe-Ath Madrid","Mario Melero",120,3,21,70,1200,210,630,1470,27,63,189,1080,1890,0.6,1.3,1,1,0,0,3,2,0,0,10,10,20,30,20,50,1000,248,0,182,0,248,182,430,14,17,14,0,107
"5","SP1",2024-05-18,"Alaves","Getafe",1,0,"H",1,0,"H",2.07,3.18,4.21,"1-0","1-0",9,2,10,4,5,7,0,1,2,1,13,27,1,3,40,"2-1","N","N","N",12,1,"Alaves-Getafe","Jorge Figueroa",12,1,22,145,4750,145,435,3190,3,22,66,36,435,1.2,0.3,2,3,0,0,3,3,0,0,20,30,50,30,30,60,3000,277,0,299,0,277,299,576,15,11,11,0,99
"6","SP1",2024-05-26,"Getafe","Mallorca",1,2,"A",0,0,"D",2.35,3.21,3.31,"0-0","1-2",16,6,9,4,0,2,0,0,3,4,12,10,3,7,22,"3-4","Y","Y","N",2,0,"Getafe-Mallorca","Víctor García",228,3,26,20,0,60,140,520,21,78,182,1596,420,0.9,1.4,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,103,0,0,103,103,0,30,0,0,76
"7","SP1",2024-04-28,"Betis","Sevilla",1,1,"D",1,0,"H",2.08,3.42,3.84,"1-0","1-1",15,5,10,1,3,5,0,0,4,6,9,20,2,10,29,"4-6","Y","N","N",8,0,"Betis-Sevilla","José Sánchez",94,2,49,80,1500,160,800,3920,20,98,490,940,1600,1.8,1.4,2,1,0,0,1,4,0,0,20,10,30,10,40,50,1500,140,0,326,0,140,326,466,6,16,6,1,110
"8","SP1",2024-05-05,"Osasuna","Betis",0,2,"A",0,2,"A",3.22,3.29,2.39,"0-2","0-2",12,2,10,4,2,2,1,0,8,5,13,13,2,13,26,"8-5","Y","N","N",4,1,"Osasuna-Betis","Víctor García",86,2,28,65,900,130,845,1820,26,56,364,1118,1690,0.8,1.1,2,1,1,0,0,1,0,0,45,10,55,0,10,10,550,67,52,124,0,119,124,243,25,38,25,0,104
"9","SP1",2024-05-12,"Betis","Almeria",3,2,"H",2,1,"H",1.35,5.27,8.02,"2-1","3-2",14,7,14,7,0,2,0,0,3,5,9,10,5,8,19,"3-5","Y","Y","Y",2,0,"Betis-Almeria","Alejandro Muñíz",211,5,100,20,0,100,160,2000,40,500,800,1688,800,0.8,1.2,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,109,0,0,109,109,0,40,0,0,109
"10","SP1",2024-05-16,"Las Palmas","Betis",2,2,"D",1,1,"D",4.14,3.67,1.92,"1-1","2-2",16,9,6,4,2,1,0,0,4,8,9,12,4,12,21,"4-8","Y","Y","Y",3,0,"Las Palmas-Betis","Javier Villanueva",161,4,39,30,200,120,360,1170,48,156,468,1932,1440,2.3,1.3,1,1,0,0,1,0,0,0,10,10,20,10,0,10,200,75,0,26,0,75,26,101,5,26,5,0,111
