"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-27,"Aston Villa","Chelsea",2,2,"D",2,0,"H",2.14,4.04,3.13,"2-0","2-2",9,4,21,5,3,5,0,0,2,4,13,14,4,6,27,"2-4","Y","Y","Y",8,0,"Aston Villa-Chelsea","C Pawson",187,4,64,80,1500,320,480,5120,24,256,384,1122,1920,1.1,1.6,0,0,0,0,3,5,0,0,0,0,0,30,50,80,0,179,0,418,0,179,418,597,49,49,49,0,118
"2","E0",2024-05-02,"Chelsea","Tottenham",2,0,"H",1,0,"H",2.22,4.15,2.92,"1-0","2-0",16,5,19,3,0,1,0,0,4,9,12,16,2,13,28,"4-9","Y","N","N",1,0,"Chelsea-Tottenham","R Jones",96,2,29,10,0,20,130,290,26,58,377,1248,260,2.2,1.6,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,67,0,0,67,67,0,67,0,0,74
"3","E0",2024-05-05,"Chelsea","West Ham",5,0,"H",3,0,"H",1.66,4.62,4.59,"3-0","5-0",25,14,13,2,1,3,0,0,8,6,12,10,5,14,22,"8-6","Y","Y","Y",4,0,"Chelsea-West Ham","A Madley",209,5,84,40,300,200,560,3360,70,420,1176,2926,2800,4.1,0.9,1,3,0,0,0,0,0,0,10,30,40,0,0,0,0,38,0,126,0,38,126,164,38,34,34,0,137
"4","E0",2024-05-11,"Nottm Forest","Chelsea",2,3,"A",1,1,"D",3.44,3.93,2.04,"1-1","2-3",20,4,12,5,2,3,0,0,5,6,14,8,5,11,22,"5-6","Y","Y","Y",5,0,"Nottm Forest-Chelsea","T Harrington",260,5,76,50,600,250,550,3800,55,380,836,2860,2750,1.5,1.6,0,2,0,0,2,1,0,0,0,20,20,20,10,30,600,169,0,131,0,169,131,300,77,15,15,0,133
"5","E0",2024-05-15,"Brighton","Chelsea",1,2,"A",0,1,"A",3.42,3.97,2.04,"0-1","1-2",12,2,13,6,2,2,0,1,4,6,13,14,3,10,27,"4-6","Y","Y","N",4,1,"Brighton-Chelsea","M Salisbury",188,3,56,65,900,195,650,3640,30,168,560,1880,1950,1.3,1.5,1,0,0,0,1,2,0,1,10,0,10,10,45,55,550,110,0,156,176,110,332,442,29,77,29,0,110
"6","E0",2024-05-19,"Chelsea","Bournemouth",2,1,"H",1,0,"H",1.45,5.4,5.93,"1-0","2-1",16,6,22,5,2,3,0,0,6,5,5,9,3,11,14,"6-5","Y","Y","N",5,0,"Chelsea-Bournemouth","A Taylor",114,3,37,50,600,150,550,1850,33,111,407,1254,1650,1.1,2.2,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,106,0,137,0,106,137,243,28,27,27,0,103
"7","E0",2024-04-25,"Brighton","Man City",0,4,"A",0,3,"A",6.84,4.9,1.45,"0-3","0-4",7,3,14,6,2,0,0,0,4,4,10,3,4,8,13,"4-4","Y","Y","Y",2,0,"Brighton-Man City","J Gillett",139,4,130,20,0,80,160,2600,32,520,1040,1112,640,0.6,1.4,1,0,0,0,1,0,0,0,10,0,10,10,0,10,100,111,0,0,0,111,0,111,35,0,0,0,94
"8","E0",2024-04-28,"Nottm Forest","Man City",0,2,"A",0,1,"A",10.15,5.89,1.3,"0-1","0-2",14,2,11,5,0,0,0,0,4,5,8,6,2,9,14,"4-5","Y","N","N",0,0,"Nottm Forest-Man City","S Hooper",103,2,33,0,0,0,0,0,18,66,297,927,0,1.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"9","E0",2024-05-04,"Man City","Wolves",5,1,"H",3,0,"H",1.09,13.16,25.65,"3-0","5-1",20,12,2,1,0,4,0,0,6,0,4,17,6,6,21,"6-0","Y","Y","Y",4,0,"Man City-Wolves","C Pawson",284,6,66,40,0,240,240,2640,36,396,396,1704,1440,3.7,0.3,0,2,0,0,0,2,0,0,0,20,20,0,20,20,400,0,0,218,0,0,218,218,0,41,0,2,148
"10","E0",2024-05-11,"Fulham","Man City",0,4,"A",0,1,"A",12.95,7.04,1.21,"0-1","0-4",1,1,16,9,1,0,1,0,1,7,9,6,4,8,15,"1-7","Y","Y","Y",1,1,"Fulham-Man City","A Taylor",233,4,114,35,0,140,280,3990,32,456,912,1864,1120,0.1,3.2,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,168,0,0,0,168,0,168,78,0,0,1,114
