"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-24,"Man United","Sheffield United",4,2,"H",1,1,"D",1.32,6.28,8.27,"1-1","4-2",25,13,10,4,0,1,0,0,9,4,7,9,6,13,16,"9-4","Y","Y","Y",1,0,"Man United-Sheffield United","M Salisbury",354,6,63,10,0,60,130,630,78,378,819,4602,780,2.9,0.8,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,37,0,0,37,37,0,37,0,1,144
"2","E0",2024-04-27,"Man United","Burnley",1,1,"D",0,0,"D",1.53,5.01,5.35,"0-0","1-1",27,10,16,7,1,3,0,0,6,5,7,11,2,11,18,"6-5","Y","N","N",4,0,"Man United-Burnley","J Brooks",166,2,46,40,300,80,440,1840,22,92,506,1826,880,2.7,2.1,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,43,0,194,0,43,194,237,43,42,42,1,93
"3","E0",2024-05-06,"Crystal Palace","Man United",4,0,"H",2,0,"H",2.39,3.81,2.83,"2-0","4-0",18,10,7,2,1,1,0,0,6,3,12,8,4,9,20,"6-3","Y","Y","Y",2,0,"Crystal Palace-Man United","J Gillett",176,4,31,20,100,80,180,620,36,124,279,1584,720,1.7,0.4,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,88,0,69,0,88,69,157,88,69,69,0,97
"4","E0",2024-05-12,"Man United","Arsenal",0,1,"A",0,1,"A",7.2,5.68,1.38,"0-1","0-1",14,2,11,5,0,2,0,0,4,7,5,6,1,11,11,"4-7","N","N","N",2,0,"Man United-Arsenal","P Tierney",20,1,19,20,0,20,220,380,11,19,209,220,220,0.5,1.5,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,165,0,0,165,165,0,71,0,0,58
"5","E0",2024-05-15,"Man United","Newcastle",3,2,"H",1,0,"H",2.75,4.07,2.36,"1-0","3-2",17,8,21,8,3,3,0,0,9,9,16,7,5,18,23,"9-9","Y","Y","Y",6,0,"Man United-Newcastle","R Jones",311,5,94,60,900,300,1080,5640,90,470,1692,5598,5400,1.4,2.3,0,1,0,0,3,2,0,0,0,10,10,30,20,50,500,230,0,183,0,230,183,413,62,37,37,0,159
"6","E0",2024-05-19,"Brighton","Man United",0,2,"A",0,0,"D",2.18,4.09,2.98,"0-0","0-2",17,3,11,4,1,3,0,0,7,5,10,9,2,12,19,"7-5","Y","N","N",4,0,"Brighton-Man United","C Pawson",161,2,31,40,300,80,480,1240,24,62,372,1932,960,1.7,1.3,0,2,0,0,1,1,0,0,0,20,20,10,10,20,400,87,0,162,0,87,162,249,87,22,22,0,86
"7","E0",2024-04-14,"West Ham","Fulham",0,2,"A",0,1,"A",2.4,3.66,2.91,"0-1","0-2",15,4,18,10,1,2,0,0,8,3,6,13,2,11,19,"8-3","Y","N","N",3,0,"West Ham-Fulham","S Attwell",81,2,36,30,200,60,330,1080,22,72,396,891,660,0.9,3.2,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,97,0,142,0,97,142,239,97,61,61,0,78
"8","E0",2024-04-21,"Fulham","Liverpool",1,3,"A",1,1,"D",5.14,4.66,1.59,"1-1","1-3",12,5,14,7,3,0,0,0,1,4,5,11,4,5,16,"1-4","Y","Y","Y",3,0,"Fulham-Liverpool","C Pawson",202,4,145,30,0,120,150,4350,20,580,725,1010,600,0.8,1,2,0,0,0,1,0,0,0,20,0,20,10,0,10,200,148,0,0,0,148,0,148,30,0,0,0,90
"9","E0",2024-04-27,"Fulham","Crystal Palace",1,1,"D",0,0,"D",2.14,3.63,3.43,"0-0","1-1",9,2,14,4,0,2,0,0,5,9,11,15,2,14,26,"5-9","Y","N","N",2,0,"Fulham-Crystal Palace","S Attwell",139,2,34,20,0,40,280,680,28,68,476,1946,560,1.1,1,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,173,0,0,173,173,0,83,0,0,82
"10","E0",2024-05-04,"Brentford","Fulham",0,0,"D",0,0,"D",2.13,3.85,3.27,"0-0","0-0",7,3,15,3,1,1,0,0,7,6,3,6,0,13,9,"7-6","N","N","N",2,0,"Brentford-Fulham","G Scott",0,0,0,20,100,0,260,0,0,0,0,0,0,0.6,1.3,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,67,0,89,0,67,89,156,67,89,67,0,49
"11","E0",2024-05-11,"Fulham","Man City",0,4,"A",0,1,"A",12.95,7.04,1.21,"0-1","0-4",1,1,16,9,1,0,1,0,1,7,9,6,4,8,15,"1-7","Y","Y","Y",1,1,"Fulham-Man City","A Taylor",233,4,114,35,0,140,280,3990,32,456,912,1864,1120,0.1,3.2,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,168,0,0,0,168,0,168,78,0,0,1,114
"12","E0",2024-05-19,"Luton","Fulham",2,4,"A",1,2,"A",2.93,3.92,2.26,"1-2","2-4",15,6,15,7,5,4,0,0,4,4,15,20,6,8,35,"4-4","Y","Y","Y",9,0,"Luton-Fulham","M Donohue",305,6,87,90,2000,540,720,7830,48,522,696,2440,4320,2,1.1,1,1,0,0,4,3,0,0,10,10,20,40,30,70,1400,289,0,237,0,289,237,526,34,22,22,1,169
"13","E0",2024-05-19,"Luton","Fulham",2,4,"A",1,2,"A",2.93,3.92,2.26,"1-2","2-4",15,6,15,7,5,4,0,0,4,4,15,20,6,8,35,"4-4","Y","Y","Y",9,0,"Luton-Fulham","M Donohue",179,3.16666666666667,58.3333333333333,34.5833333333333,325,126.666666666667,379.166666666667,2356.66666666667,34.25,236.916666666667,590.166666666667,1992.75,1351.66666666667,1.36666666666667,1.6,0.333333333333333,0.5,0,0,1.16666666666667,1.33333333333333,0,0,3.33333333333333,5,8.33333333333333,11.6666666666667,13.3333333333333,25,241.666666666667,101.416666666667,0,120.916666666667,0,101.416666666667,120.916666666667,222.333333333333,48.8333333333333,44.4166666666667,26.6666666666667,0.333333333333333,101.583333333333
