"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-20,"Wolves","Arsenal",0,2,"A",0,1,"A",8.02,5.14,1.39,"0-1","0-2",5,3,24,9,3,2,0,0,1,2,14,9,2,3,23,"1-2","Y","N","N",5,0,"Wolves-Arsenal","P Tierney",135,2,27,50,600,100,150,1350,6,54,81,405,300,0.2,1.2,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,118,0,64,0,118,64,182,32,29,29,0,64
"2","E0",2024-04-24,"Wolves","Bournemouth",0,1,"A",0,1,"A",2.74,3.53,2.6,"0-1","0-1",15,4,21,6,4,1,0,1,8,12,10,17,1,20,27,"8-12","N","N","N",5,1,"Wolves-Bournemouth","S Attwell",37,1,24,75,1400,75,1500,1800,20,24,480,740,1500,0.5,1.9,2,0,0,0,2,1,0,1,20,0,20,20,35,55,1100,197,0,92,158,197,250,447,23,92,23,0,115
"3","E0",2024-04-27,"Wolves","Luton",2,1,"H",1,0,"H",1.98,3.9,3.65,"1-0","2-1",13,5,9,6,3,1,0,0,4,4,14,14,3,8,28,"4-4","Y","Y","N",4,0,"Wolves-Luton","D Coote",169,3,44,40,300,120,320,1760,24,132,352,1352,960,1.2,0.6,1,0,0,0,2,1,0,0,10,0,10,20,10,30,300,187,0,58,0,187,58,245,11,58,11,0,89
"4","E0",2024-05-04,"Man City","Wolves",5,1,"H",3,0,"H",1.09,13.16,25.65,"3-0","5-1",20,12,2,1,0,4,0,0,6,0,4,17,6,6,21,"6-0","Y","Y","Y",4,0,"Man City-Wolves","C Pawson",284,6,66,40,0,240,240,2640,36,396,396,1704,1440,3.7,0.3,0,2,0,0,0,2,0,0,0,20,20,0,20,20,400,0,0,218,0,0,218,218,0,41,0,2,148
"5","E0",2024-05-11,"Wolves","Crystal Palace",1,3,"A",0,2,"A",2.9,3.49,2.49,"0-2","1-3",13,7,13,3,3,2,0,1,8,3,13,12,4,11,25,"8-3","Y","Y","Y",5,1,"Wolves-Crystal Palace","T Bramall",193,4,43,75,1350,300,825,3225,44,172,473,2123,3300,1.6,2.6,1,1,0,0,2,2,0,0,10,10,20,20,20,40,800,188,0,205,0,188,205,393,40,40,40,0,133
"6","E0",2024-05-19,"Liverpool","Wolves",2,0,"H",2,0,"H",1.16,9.27,13.56,"2-0","2-0",36,14,4,3,1,1,0,1,10,2,14,11,2,12,25,"10-2","Y","N","N",2,1,"Liverpool-Wolves","C Kavanagh",74,2,88,45,350,90,540,3960,24,176,1056,888,1080,4.5,0.5,0,1,0,1,1,0,0,0,0,35,35,10,0,10,350,60,0,46,56,60,102,162,60,46,46,0,91
"7","E0",2024-04-14,"West Ham","Fulham",0,2,"A",0,1,"A",2.4,3.66,2.91,"0-1","0-2",15,4,18,10,1,2,0,0,8,3,6,13,2,11,19,"8-3","Y","N","N",3,0,"West Ham-Fulham","S Attwell",81,2,36,30,200,60,330,1080,22,72,396,891,660,0.9,3.2,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,97,0,142,0,97,142,239,97,61,61,0,78
"8","E0",2024-04-21,"Crystal Palace","West Ham",5,2,"H",4,1,"H",2.12,3.66,3.45,"4-1","5-2",18,7,4,1,3,2,0,0,4,0,9,9,7,4,18,"4-0","Y","Y","Y",5,0,"Crystal Palace-West Ham","G Scott",267,7,117,50,600,350,200,5850,28,819,468,1068,1400,2.4,1.3,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,158,0,80,0,158,80,238,39,27,27,0,142
"9","E0",2024-04-27,"West Ham","Liverpool",2,2,"D",1,0,"H",5.84,5.03,1.5,"1-0","2-2",11,8,28,8,0,2,0,0,5,8,8,10,4,13,18,"5-8","Y","Y","Y",2,0,"West Ham-Liverpool","A Taylor",233,4,78,20,0,80,260,1560,52,312,1014,3029,1040,0.7,1.7,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,125,0,0,125,125,0,30,0,0,109
"10","E0",2024-05-05,"Chelsea","West Ham",5,0,"H",3,0,"H",1.66,4.62,4.59,"3-0","5-0",25,14,13,2,1,3,0,0,8,6,12,10,5,14,22,"8-6","Y","Y","Y",4,0,"Chelsea-West Ham","A Madley",209,5,84,40,300,200,560,3360,70,420,1176,2926,2800,4.1,0.9,1,3,0,0,0,0,0,0,10,30,40,0,0,0,0,38,0,126,0,38,126,164,38,34,34,0,137
