"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-13,"Nottm Forest","Wolves",2,2,"D",1,1,"D",2.14,3.57,3.5,"1-1","2-2",18,9,11,4,2,3,0,0,10,1,15,10,4,11,25,"10-1","Y","Y","Y",5,0,"Nottm Forest-Wolves","C Pawson",204,4,62,50,600,200,550,3100,44,248,682,2244,2200,1.9,1,0,2,0,0,2,1,0,0,0,20,20,20,10,30,600,172,0,129,0,172,129,301,77,30,30,0,118
"2","E0",2024-04-21,"Everton","Nottm Forest",2,0,"H",1,0,"H",2.06,3.52,3.78,"1-0","2-0",7,4,8,3,3,2,0,0,6,4,15,9,2,10,24,"6-4","Y","N","N",5,0,"Everton-Nottm Forest","A Taylor",105,2,34,50,600,100,500,1700,20,68,340,1050,1000,0.3,0.9,0,0,0,0,4,2,0,0,0,0,0,40,20,60,0,344,0,181,0,344,181,525,74,80,74,0,85
"3","E0",2024-04-28,"Nottm Forest","Man City",0,2,"A",0,1,"A",10.15,5.89,1.3,"0-1","0-2",14,2,11,5,0,0,0,0,4,5,8,6,2,9,14,"4-5","Y","N","N",0,0,"Nottm Forest-Man City","S Hooper",103,2,33,0,0,0,0,0,18,66,297,927,0,1.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"4","E0",2024-05-04,"Sheffield United","Nottm Forest",1,3,"A",1,1,"D",4.57,4.31,1.71,"1-1","1-3",17,5,15,4,0,1,1,0,5,3,9,7,4,8,16,"5-3","Y","Y","Y",1,1,"Sheffield United-Nottm Forest","C Kavanagh",160,4,61,35,250,140,280,2135,32,244,488,1280,1120,2.2,1.5,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,75,0,16,0,75,16,91,75,16,16,1,114
"5","E0",2024-05-11,"Nottm Forest","Chelsea",2,3,"A",1,1,"D",3.44,3.93,2.04,"1-1","2-3",20,4,12,5,2,3,0,0,5,6,14,8,5,11,22,"5-6","Y","Y","Y",5,0,"Nottm Forest-Chelsea","T Harrington",260,5,76,50,600,250,550,3800,55,380,836,2860,2750,1.5,1.6,0,2,0,0,2,1,0,0,0,20,20,20,10,30,600,169,0,131,0,169,131,300,77,15,15,0,133
"6","E0",2024-05-19,"Burnley","Nottm Forest",1,2,"A",0,2,"A",2.92,3.76,2.32,"0-2","1-2",20,3,12,6,1,0,0,0,4,3,11,5,3,7,16,"4-3","Y","Y","N",1,0,"Burnley-Nottm Forest","G Scott",88,3,46,10,0,30,70,460,21,138,322,616,210,1.2,1.7,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,65,0,0,0,65,0,65,65,0,0,0,71
"7","E0",2024-04-21,"Aston Villa","Bournemouth",3,1,"H",1,1,"D",1.87,4.17,3.83,"1-1","3-1",14,4,14,6,1,3,0,0,8,4,8,14,4,12,22,"8-4","Y","Y","Y",4,0,"Aston Villa-Bournemouth","T Robinson",211,4,86,40,300,160,480,3440,48,344,1032,2532,1920,2.4,1.8,0,2,0,0,1,1,0,0,0,20,20,10,10,20,400,87,0,113,0,87,113,200,87,21,21,1,126
"8","E0",2024-04-24,"Wolves","Bournemouth",0,1,"A",0,1,"A",2.74,3.53,2.6,"0-1","0-1",15,4,21,6,4,1,0,1,8,12,10,17,1,20,27,"8-12","N","N","N",5,1,"Wolves-Bournemouth","S Attwell",37,1,24,75,1400,75,1500,1800,20,24,480,740,1500,0.5,1.9,2,0,0,0,2,1,0,1,20,0,20,20,35,55,1100,197,0,92,158,197,250,447,23,92,23,0,115
"9","E0",2024-04-28,"Bournemouth","Brighton",3,0,"H",1,0,"H",2.27,3.85,2.99,"1-0","3-0",15,6,13,1,2,2,0,0,8,2,14,10,3,10,24,"8-2","Y","Y","N",4,0,"Bournemouth-Brighton","P Tierney",152,3,70,40,400,120,400,2800,30,210,700,1520,1200,1.9,0.9,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,65,0,125,0,65,125,190,8,59,8,0,95
"10","E0",2024-05-04,"Arsenal","Bournemouth",3,0,"H",1,0,"H",1.2,7.76,12.56,"1-0","3-0",25,9,7,2,2,3,0,0,6,1,16,12,3,7,28,"6-1","Y","Y","N",5,0,"Arsenal-Bournemouth","D Coote",205,3,67,50,600,150,350,3350,21,201,469,1435,1050,3.3,0.5,0,1,0,0,2,2,0,0,0,10,10,20,20,40,400,119,0,200,0,119,200,319,59,21,21,1,101
"11","E0",2024-05-11,"Bournemouth","Brentford",1,2,"A",0,0,"D",1.96,4.07,3.57,"0-0","1-2",13,4,11,5,2,2,0,0,3,8,16,12,3,11,28,"3-8","Y","Y","N",4,0,"Bournemouth-Brentford","M Donohue",265,3,39,40,400,120,440,1560,33,117,429,2915,1320,0.7,1.1,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,103,0,183,0,103,183,286,47,85,47,0,98
"12","E0",2024-05-19,"Chelsea","Bournemouth",2,1,"H",1,0,"H",1.45,5.4,5.93,"1-0","2-1",16,6,22,5,2,3,0,0,6,5,5,9,3,11,14,"6-5","Y","Y","N",5,0,"Chelsea-Bournemouth","A Taylor",114,3,37,50,600,150,550,1850,33,111,407,1254,1650,1.1,2.2,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,106,0,137,0,106,137,243,28,27,27,0,103
"13","E0",2024-05-19,"Chelsea","Bournemouth",2,1,"H",1,0,"H",1.45,5.4,5.93,"1-0","2-1",16,6,22,5,2,3,0,0,6,5,5,9,3,11,14,"6-5","Y","Y","N",5,0,"Chelsea-Bournemouth","A Taylor",158.666666666667,3.08333333333333,52.9166666666667,40.8333333333333,479.166666666667,124.583333333333,472.5,2166.25,31.25,179.25,540.166666666667,1614.41666666667,1326.66666666667,1.575,1.33333333333333,0.416666666666667,0.833333333333333,0,0,1.5,1.08333333333333,0,0.0833333333333333,4.16666666666667,8.33333333333333,12.5,15,12.9166666666667,27.9166666666667,366.666666666667,125.166666666667,0,108.916666666667,13.1666666666667,125.166666666667,122.083333333333,247.25,51.6666666666667,37.1666666666667,23.5,0.25,101.333333333333
