"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-13,"Brentford","Sheffield United",2,0,"H",0,0,"D",1.43,5.22,6.68,"0-0","2-0",9,5,8,2,3,1,0,0,3,6,8,11,2,9,19,"3-6","Y","N","N",4,0,"Brentford-Sheffield United","S Barrott",153,2,39,40,300,80,360,1560,18,78,351,1377,720,1,0.8,2,1,0,0,1,0,0,0,20,10,30,10,0,10,300,136,0,45,0,136,45,181,7,45,7,0,77
"2","E0",2024-04-20,"Luton","Brentford",1,5,"A",0,2,"A",3.28,3.76,2.16,"0-2","1-5",6,3,21,9,1,2,0,0,4,9,13,9,6,13,22,"4-9","Y","Y","Y",3,0,"Luton-Brentford","J Gillett",371,6,67,30,200,180,390,2010,78,402,871,4823,2340,0.6,3.1,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,88,0,86,0,88,86,174,88,38,38,0,144
"3","E0",2024-04-27,"Everton","Brentford",1,0,"H",0,0,"D",2.34,3.54,3.09,"0-0","1-0",18,1,10,4,1,2,0,0,6,6,10,12,1,12,22,"6-6","N","N","N",3,0,"Everton-Brentford","D England",60,1,27,30,200,30,360,810,12,27,324,720,360,0.8,0.9,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,74,0,134,0,74,134,208,74,43,43,0,66
"4","E0",2024-05-04,"Brentford","Fulham",0,0,"D",0,0,"D",2.13,3.85,3.27,"0-0","0-0",7,3,15,3,1,1,0,0,7,6,3,6,0,13,9,"7-6","N","N","N",2,0,"Brentford-Fulham","G Scott",0,0,0,20,100,0,260,0,0,0,0,0,0,0.6,1.3,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,67,0,89,0,67,89,156,67,89,67,0,49
"5","E0",2024-05-11,"Bournemouth","Brentford",1,2,"A",0,0,"D",1.96,4.07,3.57,"0-0","1-2",13,4,11,5,2,2,0,0,3,8,16,12,3,11,28,"3-8","Y","Y","N",4,0,"Bournemouth-Brentford","M Donohue",265,3,39,40,400,120,440,1560,33,117,429,2915,1320,0.7,1.1,1,0,0,0,1,2,0,0,10,0,10,10,20,30,300,103,0,183,0,103,183,286,47,85,47,0,98
"6","E0",2024-05-19,"Brentford","Newcastle",2,4,"A",0,3,"A",2.97,4,2.21,"0-3","2-4",10,5,12,7,4,4,0,0,3,0,15,11,6,3,26,"3-0","Y","Y","Y",8,0,"Brentford-Newcastle","S Hooper",290,6,129,80,1600,480,240,10320,18,774,387,870,1440,1.1,3.4,2,1,0,0,2,3,0,0,20,10,30,20,30,50,1500,240,0,242,0,240,242,482,44,28,28,0,139
"7","E0",2024-04-21,"Crystal Palace","West Ham",5,2,"H",4,1,"H",2.12,3.66,3.45,"4-1","5-2",18,7,4,1,3,2,0,0,4,0,9,9,7,4,18,"4-0","Y","Y","Y",5,0,"Crystal Palace-West Ham","G Scott",267,7,117,50,600,350,200,5850,28,819,468,1068,1400,2.4,1.3,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,158,0,80,0,158,80,238,39,27,27,0,142
"8","E0",2024-04-24,"Crystal Palace","Newcastle",2,0,"H",0,0,"D",2.76,3.7,2.49,"0-0","2-0",20,7,7,2,3,3,0,0,7,2,10,15,2,9,25,"7-2","Y","N","N",6,0,"Crystal Palace-Newcastle","T Bramall",143,2,28,60,900,120,540,1680,18,56,252,1287,1080,0.9,0.4,2,0,0,0,1,3,0,0,20,0,20,10,30,40,800,153,0,217,0,153,217,370,41,60,41,0,87
"9","E0",2024-04-27,"Fulham","Crystal Palace",1,1,"D",0,0,"D",2.14,3.63,3.43,"0-0","1-1",9,2,14,4,0,2,0,0,5,9,11,15,2,14,26,"5-9","Y","N","N",2,0,"Fulham-Crystal Palace","S Attwell",139,2,34,20,0,40,280,680,28,68,476,1946,560,1.1,1,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,173,0,0,173,173,0,83,0,0,82
"10","E0",2024-05-06,"Crystal Palace","Man United",4,0,"H",2,0,"H",2.39,3.81,2.83,"2-0","4-0",18,10,7,2,1,1,0,0,6,3,12,8,4,9,20,"6-3","Y","Y","Y",2,0,"Crystal Palace-Man United","J Gillett",176,4,31,20,100,80,180,620,36,124,279,1584,720,1.7,0.4,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,88,0,69,0,88,69,157,88,69,69,0,97
"11","E0",2024-05-11,"Wolves","Crystal Palace",1,3,"A",0,2,"A",2.9,3.49,2.49,"0-2","1-3",13,7,13,3,3,2,0,1,8,3,13,12,4,11,25,"8-3","Y","Y","Y",5,1,"Wolves-Crystal Palace","T Bramall",193,4,43,75,1350,300,825,3225,44,172,473,2123,3300,1.6,2.6,1,1,0,0,2,2,0,0,10,10,20,20,20,40,800,188,0,205,0,188,205,393,40,40,40,0,133
"12","E0",2024-05-19,"Crystal Palace","Aston Villa",5,0,"H",2,0,"H",1.83,4.37,3.74,"2-0","5-0",15,9,8,2,1,4,0,0,2,4,10,8,5,6,18,"2-4","Y","Y","Y",5,0,"Crystal Palace-Aston Villa","D Bond",234,5,62,50,400,250,300,3100,30,310,372,1404,1500,2.5,0.9,1,1,0,0,0,3,0,0,10,10,20,0,30,30,600,24,0,241,0,24,241,265,24,18,18,0,118
