"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-21,"Fulham","Liverpool",1,3,"A",1,1,"D",5.14,4.66,1.59,"1-1","1-3",12,5,14,7,3,0,0,0,1,4,5,11,4,5,16,"1-4","Y","Y","Y",3,0,"Fulham-Liverpool","C Pawson",202,4,145,30,0,120,150,4350,20,580,725,1010,600,0.8,1,2,0,0,0,1,0,0,0,20,0,20,10,0,10,200,148,0,0,0,148,0,148,30,0,0,0,90
"2","E0",2024-04-24,"Everton","Liverpool",2,0,"H",1,0,"H",7.49,5,1.42,"1-0","2-0",16,6,23,7,0,3,0,0,4,13,6,13,2,17,19,"4-13","Y","N","N",3,0,"Everton-Liverpool","A Madley",85,2,41,30,0,60,510,1230,34,82,697,1445,1020,1.2,2.1,0,1,0,0,0,2,0,0,0,10,10,0,20,20,200,0,0,224,0,0,224,224,0,37,0,0,96
"3","E0",2024-04-27,"West Ham","Liverpool",2,2,"D",1,0,"H",5.84,5.03,1.5,"1-0","2-2",11,8,28,8,0,2,0,0,5,8,8,10,4,13,18,"5-8","Y","Y","Y",2,0,"West Ham-Liverpool","A Taylor",233,4,78,20,0,80,260,1560,52,312,1014,3029,1040,0.7,1.7,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,125,0,0,125,125,0,30,0,0,109
"4","E0",2024-05-05,"Liverpool","Tottenham",4,2,"H",2,0,"H",1.48,5.3,5.73,"2-0","4-2",25,13,11,6,1,4,0,0,8,3,14,12,6,11,26,"8-3","Y","Y","Y",5,0,"Liverpool-Tottenham","P Tierney",319,6,90,50,400,300,550,4500,66,540,990,3509,3300,3.3,1.2,0,1,0,0,1,3,0,0,0,10,10,10,30,40,400,92,0,211,0,92,211,303,92,44,44,0,148
"5","E0",2024-05-13,"Aston Villa","Liverpool",3,3,"D",1,2,"A",4.16,4.7,1.71,"1-2","3-3",19,5,14,7,1,1,0,0,5,4,11,15,6,9,26,"5-4","Y","Y","Y",2,0,"Aston Villa-Liverpool","S Hooper",258,6,153,20,100,120,180,3060,54,918,1377,2322,1080,3.1,1.7,0,1,0,0,1,0,0,0,0,10,10,10,0,10,100,70,0,38,0,70,38,108,70,38,38,0,127
"6","E0",2024-05-19,"Liverpool","Wolves",2,0,"H",2,0,"H",1.16,9.27,13.56,"2-0","2-0",36,14,4,3,1,1,0,1,10,2,14,11,2,12,25,"10-2","Y","N","N",2,1,"Liverpool-Wolves","C Kavanagh",74,2,88,45,350,90,540,3960,24,176,1056,888,1080,4.5,0.5,0,1,0,1,1,0,0,0,0,35,35,10,0,10,350,60,0,46,56,60,102,162,60,46,46,0,91
"7","E0",2024-05-19,"Liverpool","Wolves",2,0,"H",2,0,"H",1.16,9.27,13.56,"2-0","2-0",36,14,4,3,1,1,0,1,10,2,14,11,2,12,25,"10-2","Y","N","N",2,1,"Liverpool-Wolves","C Kavanagh",195.166666666667,4,99.1666666666667,32.5,141.666666666667,128.333333333333,365,3110,41.6666666666667,434.666666666667,976.5,2033.83333333333,1353.33333333333,2.26666666666667,1.36666666666667,0.333333333333333,0.833333333333333,0,0.166666666666667,0.666666666666667,1,0,0,3.33333333333333,12.5,15.8333333333333,6.66666666666667,10,16.6666666666667,225,61.6666666666667,0,107.333333333333,9.33333333333333,61.6666666666667,116.666666666667,178.333333333333,42,32.5,21.3333333333333,0,110.166666666667
