"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-20,"Wolves","Arsenal",0,2,"A",0,1,"A",8.02,5.14,1.39,"0-1","0-2",5,3,24,9,3,2,0,0,1,2,14,9,2,3,23,"1-2","Y","N","N",5,0,"Wolves-Arsenal","P Tierney",135,2,27,50,600,100,150,1350,6,54,81,405,300,0.2,1.2,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,118,0,64,0,118,64,182,32,29,29,0,64
"2","E0",2024-04-23,"Arsenal","Chelsea",5,0,"H",1,0,"H",1.45,5.03,6.76,"1-0","5-0",27,10,7,1,2,2,0,0,4,2,12,11,5,6,23,"4-2","Y","Y","Y",4,0,"Arsenal-Chelsea","S Hooper",278,5,85,40,400,200,240,3400,30,425,510,1668,1200,3.3,1.6,1,2,0,0,1,0,0,0,10,20,30,10,0,10,300,121,0,85,0,121,85,206,45,42,42,0,113
"3","E0",2024-04-28,"Tottenham","Arsenal",2,3,"A",0,3,"A",4.19,4.07,1.81,"0-3","2-3",14,2,9,3,2,1,0,0,8,6,12,16,5,14,28,"8-6","Y","Y","Y",3,0,"Tottenham-Arsenal","M Oliver",231,5,65,30,200,150,420,1950,70,325,910,3234,2100,2.3,1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,158,0,83,0,158,83,241,77,83,77,1,142
"4","E0",2024-05-04,"Arsenal","Bournemouth",3,0,"H",1,0,"H",1.2,7.76,12.56,"1-0","3-0",25,9,7,2,2,3,0,0,6,1,16,12,3,7,28,"6-1","Y","Y","N",5,0,"Arsenal-Bournemouth","D Coote",205,3,67,50,600,150,350,3350,21,201,469,1435,1050,3.3,0.5,0,1,0,0,2,2,0,0,0,10,10,20,20,40,400,119,0,200,0,119,200,319,59,21,21,1,101
"5","E0",2024-05-12,"Man United","Arsenal",0,1,"A",0,1,"A",7.2,5.68,1.38,"0-1","0-1",14,2,11,5,0,2,0,0,4,7,5,6,1,11,11,"4-7","N","N","N",2,0,"Man United-Arsenal","P Tierney",20,1,19,20,0,20,220,380,11,19,209,220,220,0.5,1.5,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,165,0,0,165,165,0,71,0,0,58
"6","E0",2024-05-19,"Arsenal","Everton",2,1,"H",1,1,"D",1.17,8.37,15.6,"1-1","2-1",26,5,5,2,4,3,0,0,8,1,8,11,3,9,19,"8-1","Y","Y","N",7,0,"Arsenal-Everton","M Oliver",172,3,74,70,1200,210,630,5180,27,222,666,1548,1890,2.9,0.6,1,0,0,0,3,3,0,0,10,0,10,30,30,60,600,263,0,187,0,263,187,450,39,50,39,0,107
"7","E0",2024-04-20,"Wolves","Arsenal",0,2,"A",0,1,"A",8.02,5.14,1.39,"0-1","0-2",5,3,24,9,3,2,0,0,1,2,14,9,2,3,23,"1-2","Y","N","N",5,0,"Wolves-Arsenal","P Tierney",135,2,27,50,600,100,150,1350,6,54,81,405,300,0.2,1.2,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,118,0,64,0,118,64,182,32,29,29,0,64
"8","E0",2024-04-24,"Wolves","Bournemouth",0,1,"A",0,1,"A",2.74,3.53,2.6,"0-1","0-1",15,4,21,6,4,1,0,1,8,12,10,17,1,20,27,"8-12","N","N","N",5,1,"Wolves-Bournemouth","S Attwell",37,1,24,75,1400,75,1500,1800,20,24,480,740,1500,0.5,1.9,2,0,0,0,2,1,0,1,20,0,20,20,35,55,1100,197,0,92,158,197,250,447,23,92,23,0,115
"9","E0",2024-04-27,"Wolves","Luton",2,1,"H",1,0,"H",1.98,3.9,3.65,"1-0","2-1",13,5,9,6,3,1,0,0,4,4,14,14,3,8,28,"4-4","Y","Y","N",4,0,"Wolves-Luton","D Coote",169,3,44,40,300,120,320,1760,24,132,352,1352,960,1.2,0.6,1,0,0,0,2,1,0,0,10,0,10,20,10,30,300,187,0,58,0,187,58,245,11,58,11,0,89
"10","E0",2024-05-04,"Man City","Wolves",5,1,"H",3,0,"H",1.09,13.16,25.65,"3-0","5-1",20,12,2,1,0,4,0,0,6,0,4,17,6,6,21,"6-0","Y","Y","Y",4,0,"Man City-Wolves","C Pawson",284,6,66,40,0,240,240,2640,36,396,396,1704,1440,3.7,0.3,0,2,0,0,0,2,0,0,0,20,20,0,20,20,400,0,0,218,0,0,218,218,0,41,0,2,148
"11","E0",2024-05-11,"Wolves","Crystal Palace",1,3,"A",0,2,"A",2.9,3.49,2.49,"0-2","1-3",13,7,13,3,3,2,0,1,8,3,13,12,4,11,25,"8-3","Y","Y","Y",5,1,"Wolves-Crystal Palace","T Bramall",193,4,43,75,1350,300,825,3225,44,172,473,2123,3300,1.6,2.6,1,1,0,0,2,2,0,0,10,10,20,20,20,40,800,188,0,205,0,188,205,393,40,40,40,0,133
"12","E0",2024-05-19,"Liverpool","Wolves",2,0,"H",2,0,"H",1.16,9.27,13.56,"2-0","2-0",36,14,4,3,1,1,0,1,10,2,14,11,2,12,25,"10-2","Y","N","N",2,1,"Liverpool-Wolves","C Kavanagh",74,2,88,45,350,90,540,3960,24,176,1056,888,1080,4.5,0.5,0,1,0,1,1,0,0,0,0,35,35,10,0,10,350,60,0,46,56,60,102,162,60,46,46,0,91
"13","E0",2024-05-19,"Liverpool","Wolves",2,0,"H",2,0,"H",1.16,9.27,13.56,"2-0","2-0",36,14,4,3,1,1,0,1,10,2,14,11,2,12,25,"10-2","Y","N","N",2,1,"Liverpool-Wolves","C Kavanagh",161.083333333333,3.08333333333333,52.4166666666667,48.75,583.333333333333,146.25,465.416666666667,2528.75,26.5833333333333,183.333333333333,473.583333333333,1310.16666666667,1278.33333333333,2.01666666666667,1.125,0.833333333333333,0.916666666666667,0,0.0833333333333333,1.41666666666667,1.16666666666667,0,0.0833333333333333,8.33333333333333,11.25,19.5833333333333,14.1666666666667,13.75,27.9166666666667,420.833333333333,127.416666666667,0,122.25,17.8333333333333,127.416666666667,140.083333333333,267.5,34.8333333333333,50.1666666666667,29.75,0.333333333333333,102.083333333333
