"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-21,"Crystal Palace","West Ham",5,2,"H",4,1,"H",2.12,3.66,3.45,"4-1","5-2",18,7,4,1,3,2,0,0,4,0,9,9,7,4,18,"4-0","Y","Y","Y",5,0,"Crystal Palace-West Ham","G Scott",267,7,117,50,600,350,200,5850,28,819,468,1068,1400,2.4,1.3,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,158,0,80,0,158,80,238,39,27,27,0,142
"2","E0",2024-04-24,"Crystal Palace","Newcastle",2,0,"H",0,0,"D",2.76,3.7,2.49,"0-0","2-0",20,7,7,2,3,3,0,0,7,2,10,15,2,9,25,"7-2","Y","N","N",6,0,"Crystal Palace-Newcastle","T Bramall",143,2,28,60,900,120,540,1680,18,56,252,1287,1080,0.9,0.4,2,0,0,0,1,3,0,0,20,0,20,10,30,40,800,153,0,217,0,153,217,370,41,60,41,0,87
"3","E0",2024-04-27,"Fulham","Crystal Palace",1,1,"D",0,0,"D",2.14,3.63,3.43,"0-0","1-1",9,2,14,4,0,2,0,0,5,9,11,15,2,14,26,"5-9","Y","N","N",2,0,"Fulham-Crystal Palace","S Attwell",139,2,34,20,0,40,280,680,28,68,476,1946,560,1.1,1,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,173,0,0,173,173,0,83,0,0,82
"4","E0",2024-05-06,"Crystal Palace","Man United",4,0,"H",2,0,"H",2.39,3.81,2.83,"2-0","4-0",18,10,7,2,1,1,0,0,6,3,12,8,4,9,20,"6-3","Y","Y","Y",2,0,"Crystal Palace-Man United","J Gillett",176,4,31,20,100,80,180,620,36,124,279,1584,720,1.7,0.4,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,88,0,69,0,88,69,157,88,69,69,0,97
"5","E0",2024-05-11,"Wolves","Crystal Palace",1,3,"A",0,2,"A",2.9,3.49,2.49,"0-2","1-3",13,7,13,3,3,2,0,1,8,3,13,12,4,11,25,"8-3","Y","Y","Y",5,1,"Wolves-Crystal Palace","T Bramall",193,4,43,75,1350,300,825,3225,44,172,473,2123,3300,1.6,2.6,1,1,0,0,2,2,0,0,10,10,20,20,20,40,800,188,0,205,0,188,205,393,40,40,40,0,133
"6","E0",2024-05-19,"Crystal Palace","Aston Villa",5,0,"H",2,0,"H",1.83,4.37,3.74,"2-0","5-0",15,9,8,2,1,4,0,0,2,4,10,8,5,6,18,"2-4","Y","Y","Y",5,0,"Crystal Palace-Aston Villa","D Bond",234,5,62,50,400,250,300,3100,30,310,372,1404,1500,2.5,0.9,1,1,0,0,0,3,0,0,10,10,20,0,30,30,600,24,0,241,0,24,241,265,24,18,18,0,118
"7","E0",2024-04-27,"Aston Villa","Chelsea",2,2,"D",2,0,"H",2.14,4.04,3.13,"2-0","2-2",9,4,21,5,3,5,0,0,2,4,13,14,4,6,27,"2-4","Y","Y","Y",8,0,"Aston Villa-Chelsea","C Pawson",187,4,64,80,1500,320,480,5120,24,256,384,1122,1920,1.1,1.6,0,0,0,0,3,5,0,0,0,0,0,30,50,80,0,179,0,418,0,179,418,597,49,49,49,0,118
"8","E0",2024-05-02,"Chelsea","Tottenham",2,0,"H",1,0,"H",2.22,4.15,2.92,"1-0","2-0",16,5,19,3,0,1,0,0,4,9,12,16,2,13,28,"4-9","Y","N","N",1,0,"Chelsea-Tottenham","R Jones",96,2,29,10,0,20,130,290,26,58,377,1248,260,2.2,1.6,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,67,0,0,67,67,0,67,0,0,74
"9","E0",2024-05-05,"Chelsea","West Ham",5,0,"H",3,0,"H",1.66,4.62,4.59,"3-0","5-0",25,14,13,2,1,3,0,0,8,6,12,10,5,14,22,"8-6","Y","Y","Y",4,0,"Chelsea-West Ham","A Madley",209,5,84,40,300,200,560,3360,70,420,1176,2926,2800,4.1,0.9,1,3,0,0,0,0,0,0,10,30,40,0,0,0,0,38,0,126,0,38,126,164,38,34,34,0,137
"10","E0",2024-05-11,"Nottm Forest","Chelsea",2,3,"A",1,1,"D",3.44,3.93,2.04,"1-1","2-3",20,4,12,5,2,3,0,0,5,6,14,8,5,11,22,"5-6","Y","Y","Y",5,0,"Nottm Forest-Chelsea","T Harrington",260,5,76,50,600,250,550,3800,55,380,836,2860,2750,1.5,1.6,0,2,0,0,2,1,0,0,0,20,20,20,10,30,600,169,0,131,0,169,131,300,77,15,15,0,133
"11","E0",2024-05-15,"Brighton","Chelsea",1,2,"A",0,1,"A",3.42,3.97,2.04,"0-1","1-2",12,2,13,6,2,2,0,1,4,6,13,14,3,10,27,"4-6","Y","Y","N",4,1,"Brighton-Chelsea","M Salisbury",188,3,56,65,900,195,650,3640,30,168,560,1880,1950,1.3,1.5,1,0,0,0,1,2,0,1,10,0,10,10,45,55,550,110,0,156,176,110,332,442,29,77,29,0,110
"12","E0",2024-05-19,"Chelsea","Bournemouth",2,1,"H",1,0,"H",1.45,5.4,5.93,"1-0","2-1",16,6,22,5,2,3,0,0,6,5,5,9,3,11,14,"6-5","Y","Y","N",5,0,"Chelsea-Bournemouth","A Taylor",114,3,37,50,600,150,550,1850,33,111,407,1254,1650,1.1,2.2,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,106,0,137,0,106,137,243,28,27,27,0,103
"13","E0",2024-05-19,"Chelsea","Bournemouth",2,1,"H",1,0,"H",1.45,5.4,5.93,"1-0","2-1",16,6,22,5,2,3,0,0,6,5,5,9,3,11,14,"6-5","Y","Y","N",5,0,"Chelsea-Bournemouth","A Taylor",183.833333333333,3.83333333333333,55.0833333333333,47.5,604.166666666667,189.583333333333,437.083333333333,2767.91666666667,35.1666666666667,245.166666666667,505,1725.16666666667,1657.5,1.79166666666667,1.33333333333333,0.75,0.916666666666667,0,0,1,1.75,0,0.0833333333333333,7.5,9.16666666666667,16.6666666666667,10,19.5833333333333,29.5833333333333,362.5,101.083333333333,0,168.333333333333,14.6666666666667,101.083333333333,183,284.083333333333,37.75,47.1666666666667,29.0833333333333,0,111.166666666667
