"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","E0",2024-04-14,"West Ham","Fulham",0,2,"A",0,1,"A",2.4,3.66,2.91,"0-1","0-2",15,4,18,10,1,2,0,0,8,3,6,13,2,11,19,"8-3","Y","N","N",3,0,"West Ham-Fulham","S Attwell",81,2,36,30,200,60,330,1080,22,72,396,891,660,0.9,3.2,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,97,0,142,0,97,142,239,97,61,61,0,78
"2","E0",2024-04-21,"Crystal Palace","West Ham",5,2,"H",4,1,"H",2.12,3.66,3.45,"4-1","5-2",18,7,4,1,3,2,0,0,4,0,9,9,7,4,18,"4-0","Y","Y","Y",5,0,"Crystal Palace-West Ham","G Scott",267,7,117,50,600,350,200,5850,28,819,468,1068,1400,2.4,1.3,2,2,0,0,1,0,0,0,20,20,40,10,0,10,400,158,0,80,0,158,80,238,39,27,27,0,142
"3","E0",2024-04-27,"West Ham","Liverpool",2,2,"D",1,0,"H",5.84,5.03,1.5,"1-0","2-2",11,8,28,8,0,2,0,0,5,8,8,10,4,13,18,"5-8","Y","Y","Y",2,0,"West Ham-Liverpool","A Taylor",233,4,78,20,0,80,260,1560,52,312,1014,3029,1040,0.7,1.7,0,1,0,0,0,1,0,0,0,10,10,0,10,10,100,0,0,125,0,0,125,125,0,30,0,0,109
"4","E0",2024-05-05,"Chelsea","West Ham",5,0,"H",3,0,"H",1.66,4.62,4.59,"3-0","5-0",25,14,13,2,1,3,0,0,8,6,12,10,5,14,22,"8-6","Y","Y","Y",4,0,"Chelsea-West Ham","A Madley",209,5,84,40,300,200,560,3360,70,420,1176,2926,2800,4.1,0.9,1,3,0,0,0,0,0,0,10,30,40,0,0,0,0,38,0,126,0,38,126,164,38,34,34,0,137
"5","E0",2024-05-11,"West Ham","Luton",3,1,"H",0,1,"A",1.82,4.53,3.78,"0-1","3-1",24,8,4,1,1,3,0,0,7,6,9,15,4,13,24,"7-6","Y","Y","Y",4,0,"West Ham-Luton","M Oliver",201,4,103,40,300,160,520,4120,52,412,1339,2613,2080,3.2,0.3,0,1,0,0,1,2,0,0,0,10,10,10,20,30,300,52,0,172,0,52,172,224,52,10,10,0,119
"6","E0",2024-05-19,"Man City","West Ham",3,1,"H",2,1,"H",1.09,13.11,20.39,"2-1","3-1",28,12,3,2,0,1,0,0,11,2,3,12,4,13,15,"11-2","Y","Y","Y",1,0,"Man City-West Ham","J Brooks",121,4,124,10,0,40,130,1240,52,496,1612,1573,520,1.9,0.4,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,75,0,0,75,75,0,75,0,0,104
"7","E0",2024-04-14,"Arsenal","Aston Villa",0,2,"A",0,0,"D",1.29,6.27,9.5,"0-0","0-2",18,4,11,2,3,1,0,0,4,6,12,7,2,10,19,"4-6","Y","N","N",4,0,"Arsenal-Aston Villa","D Coote",171,2,42,40,300,80,400,1680,20,84,420,1710,800,1.6,0.9,2,1,0,0,1,0,0,0,20,10,30,10,0,10,300,144,0,14,0,144,14,158,36,14,14,0,80
"8","E0",2024-04-21,"Aston Villa","Bournemouth",3,1,"H",1,1,"D",1.87,4.17,3.83,"1-1","3-1",14,4,14,6,1,3,0,0,8,4,8,14,4,12,22,"8-4","Y","Y","Y",4,0,"Aston Villa-Bournemouth","T Robinson",211,4,86,40,300,160,480,3440,48,344,1032,2532,1920,2.4,1.8,0,2,0,0,1,1,0,0,0,20,20,10,10,20,400,87,0,113,0,87,113,200,87,21,21,1,126
"9","E0",2024-04-27,"Aston Villa","Chelsea",2,2,"D",2,0,"H",2.14,4.04,3.13,"2-0","2-2",9,4,21,5,3,5,0,0,2,4,13,14,4,6,27,"2-4","Y","Y","Y",8,0,"Aston Villa-Chelsea","C Pawson",187,4,64,80,1500,320,480,5120,24,256,384,1122,1920,1.1,1.6,0,0,0,0,3,5,0,0,0,0,0,30,50,80,0,179,0,418,0,179,418,597,49,49,49,0,118
"10","E0",2024-05-05,"Brighton","Aston Villa",1,0,"H",0,0,"D",2.75,3.76,2.48,"0-0","1-0",15,8,2,1,2,1,0,0,7,3,13,10,1,10,23,"7-3","N","N","N",3,0,"Brighton-Aston Villa","R Jones",87,1,9,30,200,30,300,270,10,9,90,870,300,2.5,0.1,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,112,0,99,0,112,99,211,49,99,49,1,70
