"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-21,"Sassuolo","Lecce",0,3,"A",0,2,"A",2.34,3.37,3.24,"0-2","0-3",10,3,14,8,1,0,0,0,9,4,10,13,3,13,23,"9-4","Y","Y","N",1,0,"Sassuolo-Lecce","Daniele Doveri",87,3,121,10,0,30,130,1210,39,363,1573,1131,390,0.6,2.3,1,0,0,0,0,0,0,0,10,0,10,0,0,0,0,19,0,0,0,19,0,19,19,0,0,0,89
"2","I1",2024-04-27,"Lecce","Monza",1,1,"D",0,0,"D",2.06,3.27,4.12,"0-0","1-1",12,4,9,1,2,3,0,0,0,5,13,18,2,5,31,"0-5","Y","N","N",5,0,"Lecce-Monza","Alberto Santoro",180,2,41,50,600,100,250,2050,10,82,205,900,500,0.9,1.1,1,1,0,0,1,2,0,0,10,10,20,10,20,30,600,95,0,162,0,95,162,257,25,15,15,1,80
"3","I1",2024-05-05,"Cagliari","Lecce",1,1,"D",1,0,"H",2.2,3.18,3.77,"1-0","1-1",9,3,16,3,4,4,1,0,3,10,9,15,2,13,24,"3-10","Y","N","N",8,1,"Cagliari-Lecce","Matteo Marcenaro",110,2,35,105,2600,210,1365,3675,26,70,455,1430,2730,1,1.8,0,1,1,0,4,3,0,0,25,10,35,40,30,70,2450,292,88,198,0,380,198,578,64,14,14,0,124
"4","I1",2024-05-13,"Lecce","Udinese",0,2,"A",0,1,"A",2.65,2.93,2.93,"0-1","0-2",9,2,16,3,2,1,0,0,8,2,12,11,2,10,23,"8-2","Y","N","N",3,0,"Lecce-Udinese","Davide Massa",121,2,41,30,200,60,300,1230,20,82,410,1210,600,0.4,1.4,1,0,0,0,1,1,0,0,10,0,10,10,10,20,200,74,0,60,0,74,60,134,17,60,17,0,75
"5","I1",2024-05-18,"Lecce","Atalanta",0,2,"A",0,0,"D",4.68,3.83,1.76,"0-0","0-2",11,3,19,9,0,4,0,0,2,5,7,20,2,7,27,"2-5","Y","N","N",4,0,"Lecce-Atalanta","Antonio Rapuano",101,2,107,40,0,80,280,4280,14,214,749,707,560,1.3,1.6,0,3,0,0,0,1,0,0,0,30,30,0,10,10,300,0,0,173,0,0,173,173,0,25,0,0,71
"6","I1",2024-05-26,"Napoli","Lecce",0,0,"D",0,0,"D",1.43,4.95,6.9,"0-0","0-0",24,5,10,0,0,0,0,0,4,1,10,17,0,5,27,"4-1","N","N","N",0,0,"Napoli-Lecce","Federico Dionisi",0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"7","I1",2024-04-28,"Atalanta","Empoli",2,0,"H",1,0,"H",1.45,4.77,7.14,"1-0","2-0",17,5,11,2,1,2,0,0,8,1,19,14,2,9,33,"8-1","Y","N","N",3,0,"Atalanta-Empoli","Michael Fabbri",93,2,19,30,200,60,270,570,18,38,171,837,540,1.9,0.4,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,81,0,101,0,81,101,182,81,24,24,1,82
"8","I1",2024-05-06,"Salernitana","Atalanta",1,2,"A",1,0,"H",8.73,5.45,1.35,"1-0","1-2",9,2,17,4,1,0,0,0,1,7,12,10,3,8,22,"1-7","Y","Y","N",1,0,"Salernitana-Atalanta","Ermanno Feliciani",138,3,130,10,0,30,80,1300,24,390,1040,1104,240,0.5,1.9,1,0,0,0,0,0,0,0,10,0,10,0,0,0,0,45,0,0,0,45,0,45,45,0,0,0,74
"9","I1",2024-05-12,"Atalanta","Roma",2,1,"H",2,0,"H",1.97,3.56,3.8,"2-0","2-1",24,7,9,6,1,1,0,0,6,1,11,11,3,7,22,"6-1","Y","Y","N",2,0,"Atalanta-Roma","Marco Guida",104,3,41,20,100,60,140,820,21,123,287,728,420,2.7,1.2,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,58,0,46,0,58,46,104,58,46,46,1,86
"10","I1",2024-05-18,"Lecce","Atalanta",0,2,"A",0,0,"D",4.68,3.83,1.76,"0-0","0-2",11,3,19,9,0,4,0,0,2,5,7,20,2,7,27,"2-5","Y","N","N",4,0,"Lecce-Atalanta","Antonio Rapuano",101,2,107,40,0,80,280,4280,14,214,749,707,560,1.3,1.6,0,3,0,0,0,1,0,0,0,30,30,0,10,10,300,0,0,173,0,0,173,173,0,25,0,0,71
