"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-19,"Genoa","Lazio",0,1,"A",0,0,"D",3.24,3.16,2.49,"0-0","0-1",8,2,13,1,1,2,0,0,2,9,7,13,1,11,20,"2-9","N","N","N",3,0,"Genoa-Lazio","Ermanno Feliciani",67,1,10,30,200,30,330,300,11,10,110,737,330,0.5,1,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,87,0,103,0,87,103,190,87,16,16,0,63
"2","I1",2024-04-27,"Lazio","Verona",1,0,"H",0,0,"D",1.66,3.96,5.53,"0-0","1-0",17,5,7,1,4,4,0,0,4,2,13,18,1,6,31,"4-2","N","N","N",8,0,"Lazio-Verona","Davide Massa",72,1,20,80,1600,80,480,1600,6,20,120,432,480,1.1,0.6,1,0,0,0,3,4,0,0,10,0,10,30,40,70,700,252,0,324,0,252,324,576,38,71,38,0,73
"3","I1",2024-05-04,"Monza","Lazio",2,2,"D",0,1,"A",4.51,3.65,1.85,"0-1","2-2",17,7,9,5,1,7,0,0,5,4,8,13,4,9,21,"5-4","Y","Y","Y",8,0,"Monza-Lazio","Luca Pairetto",257,4,44,80,700,320,720,3520,36,176,396,2313,2880,1.7,1.4,0,3,0,0,1,4,0,0,0,30,30,10,40,50,1500,96,0,410,0,96,410,506,96,15,15,0,127
"4","I1",2024-05-12,"Lazio","Empoli",2,0,"H",1,0,"H",1.58,3.95,5.8,"1-0","2-0",11,5,16,3,3,1,0,0,7,7,18,15,2,14,33,"7-7","Y","N","N",4,0,"Lazio-Empoli","Gianluca Aureliano",134,2,9,40,300,80,560,360,28,18,126,1876,1120,1.7,1.2,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,257,0,73,0,257,73,330,77,73,73,0,92
"5","I1",2024-05-19,"Inter","Lazio",1,1,"D",0,1,"A",1.68,4.28,4.85,"0-1","1-1",19,7,8,3,0,1,0,0,8,0,10,15,2,8,25,"8-0","Y","N","N",1,0,"Inter-Lazio","Juan Sacchi",119,2,8,10,0,20,80,80,16,16,64,952,160,1.4,0.6,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,52,0,0,52,52,0,52,0,0,59
"6","I1",2024-05-26,"Lazio","Sassuolo",1,1,"D",0,0,"D",1.36,5.44,7.98,"0-0","1-1",8,6,8,3,3,1,0,0,5,3,15,11,2,8,26,"5-3","Y","N","N",4,0,"Lazio-Sassuolo","Paride Tremolada",126,2,41,40,300,80,320,1640,16,82,328,1008,640,1,1.1,0,1,0,0,3,0,0,0,0,10,10,30,0,30,300,235,0,19,0,235,19,254,65,19,19,0,74
"7","I1",2024-05-26,"Lazio","Sassuolo",1,1,"D",0,0,"D",1.36,5.44,7.98,"0-0","1-1",8,6,8,3,3,1,0,0,5,3,15,11,2,8,26,"5-3","Y","N","N",4,0,"Lazio-Sassuolo","Paride Tremolada",129.166666666667,2,22,46.6666666666667,516.666666666667,101.666666666667,415,1250,18.8333333333333,53.6666666666667,190.666666666667,1219.66666666667,935,1.23333333333333,0.983333333333333,0.166666666666667,0.833333333333333,0,0,1.83333333333333,1.83333333333333,0,0,1.66666666666667,8.33333333333333,10,18.3333333333333,18.3333333333333,36.6666666666667,450,154.5,0,163.5,0,154.5,163.5,318,60.5,41,26.8333333333333,0,81.3333333333333
