"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-22,"Milan","Inter",1,2,"A",0,1,"A",3.96,3.68,1.96,"0-1","1-2",15,6,11,3,3,2,2,1,5,3,19,10,3,8,29,"5-3","Y","Y","N",5,3,"Milan-Inter","Andrea Colombo",147,3,47,125,3600,375,1000,5875,24,141,376,1176,3000,2.2,2,1,2,0,0,2,0,2,1,10,20,30,70,25,95,2850,218,380,54,186,598,240,838,36,22,22,0,139
"2","I1",2024-04-27,"Juventus","Milan",0,0,"D",0,0,"D",2.09,3.46,3.74,"0-0","0-0",18,7,9,0,0,1,0,0,9,4,10,4,0,13,14,"9-4","N","N","N",1,0,"Juventus-Milan","Maurizio Mariani",0,0,0,10,0,0,130,0,0,0,0,0,0,1.4,0.3,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,46,0,0,46,46,0,46,0,0,44
"3","I1",2024-05-05,"Milan","Genoa",3,3,"D",1,1,"D",1.49,4.59,6.64,"1-1","3-3",26,7,6,2,1,1,0,0,7,1,8,10,6,8,18,"7-1","Y","Y","Y",2,0,"Milan-Genoa","Alessandro Prontera",332,6,162,20,100,120,160,3240,48,972,1296,2656,960,2.8,1,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,43,0,94,0,43,94,137,43,94,43,1,134
"4","I1",2024-05-11,"Milan","Cagliari",5,1,"H",1,0,"H",1.41,4.95,6.91,"1-0","5-1",17,10,13,7,2,1,0,0,6,3,11,9,6,9,20,"6-3","Y","Y","Y",3,0,"Milan-Cagliari","Simone Sozza",400,6,58,30,200,180,270,1740,54,348,522,3600,1620,3.3,1.5,2,0,0,0,0,1,0,0,20,0,20,0,10,10,200,61,0,69,0,61,69,130,28,69,28,0,132
"5","I1",2024-05-18,"Torino","Milan",3,1,"H",2,0,"H",2.85,3.21,2.66,"2-0","3-1",11,5,16,4,1,1,0,0,3,8,15,14,4,11,29,"3-8","Y","Y","Y",2,0,"Torino-Milan","Ermanno Feliciani",167,4,116,20,100,80,220,2320,44,464,1276,1837,880,0.9,1.9,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,95,0,78,0,95,78,173,95,78,78,1,113
"6","I1",2024-05-25,"Milan","Salernitana",3,3,"D",2,0,"H",1.17,8.69,13.1,"2-0","3-3",23,11,14,6,0,1,0,0,13,3,6,9,6,16,15,"13-3","Y","Y","Y",1,0,"Milan-Salernitana","Davide Di Marco",366,6,45,10,0,60,160,450,96,270,720,5856,960,3,1.7,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,51,0,0,51,51,0,51,0,0,143
"7","I1",2024-04-21,"Torino","Frosinone",0,0,"D",0,0,"D",1.67,3.94,5.4,"0-0","0-0",13,2,12,3,2,2,0,0,6,4,10,17,0,10,27,"6-4","N","N","N",4,0,"Torino-Frosinone","Antonio Rapuano",0,0,0,40,400,0,400,0,0,0,0,0,0,0.6,0.6,0,1,0,0,2,1,0,0,0,10,10,20,10,30,300,148,0,117,0,148,117,265,61,34,34,0,50
"8","I1",2024-04-28,"Inter","Torino",2,0,"H",0,0,"D",1.54,4.12,6.94,"0-0","2-0",17,5,11,3,0,0,0,1,5,4,6,8,2,9,14,"5-4","Y","N","N",0,1,"Inter-Torino","Maria Sole Ferrieri Caputi",116,2,40,25,0,50,225,1000,18,80,360,1044,450,1.7,0.5,0,0,0,0,0,0,0,1,0,0,0,0,25,25,0,0,0,0,98,0,98,98,0,0,0,1,82
"9","I1",2024-05-03,"Torino","Bologna",0,0,"D",0,0,"D",2.86,3.01,2.9,"0-0","0-0",8,1,5,1,2,2,0,0,2,4,14,11,0,6,25,"2-4","N","N","N",4,0,"Torino-Bologna","Simone Sozza",0,0,0,40,400,0,240,0,0,0,0,0,0,0.7,0.2,1,1,0,0,1,1,0,0,10,10,20,10,10,20,400,58,0,65,0,58,65,123,8,13,8,0,38
"10","I1",2024-05-12,"Verona","Torino",1,2,"A",0,0,"D",3.07,3.01,2.56,"0-0","1-2",13,5,6,2,3,2,1,0,7,4,19,15,3,11,34,"7-4","Y","Y","N",5,1,"Verona-Torino","Livio Marinelli",227,3,101,75,1100,225,825,7575,33,303,1111,2497,2475,1.2,0.5,2,0,0,0,1,2,1,0,20,0,20,35,20,55,1100,175,192,186,0,367,186,553,38,93,38,0,118
