"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-22,"Milan","Inter",1,2,"A",0,1,"A",3.96,3.68,1.96,"0-1","1-2",15,6,11,3,3,2,2,1,5,3,19,10,3,8,29,"5-3","Y","Y","N",5,3,"Milan-Inter","Andrea Colombo",147,3,47,125,3600,375,1000,5875,24,141,376,1176,3000,2.2,2,1,2,0,0,2,0,2,1,10,20,30,70,25,95,2850,218,380,54,186,598,240,838,36,22,22,0,139
"2","I1",2024-04-28,"Inter","Torino",2,0,"H",0,0,"D",1.54,4.12,6.94,"0-0","2-0",17,5,11,3,0,0,0,1,5,4,6,8,2,9,14,"5-4","Y","N","N",0,1,"Inter-Torino","Maria Sole Ferrieri Caputi",116,2,40,25,0,50,225,1000,18,80,360,1044,450,1.7,0.5,0,0,0,0,0,0,0,1,0,0,0,0,25,25,0,0,0,0,98,0,98,98,0,0,0,1,82
"3","I1",2024-05-04,"Sassuolo","Inter",1,0,"H",1,0,"H",6.04,4.79,1.51,"1-0","1-0",6,2,14,1,1,1,0,0,2,5,10,10,1,7,20,"2-5","N","N","N",2,0,"Sassuolo-Inter","Matteo Marchetti",20,1,45,20,100,20,140,900,7,45,315,140,140,0.3,1.1,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,90,0,89,0,90,89,179,90,89,89,0,46
"4","I1",2024-05-10,"Frosinone","Inter",0,5,"A",0,1,"A",4.6,4.06,1.76,"0-1","0-5",17,8,14,5,0,0,0,0,8,4,4,8,5,12,12,"8-4","Y","Y","Y",0,0,"Frosinone-Inter","Antonio Giua",320,5,60,0,0,0,0,0,60,300,720,3840,0,1.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
"5","I1",2024-05-19,"Inter","Lazio",1,1,"D",0,1,"A",1.68,4.28,4.85,"0-1","1-1",19,7,8,3,0,1,0,0,8,0,10,15,2,8,25,"8-0","Y","N","N",1,0,"Inter-Lazio","Juan Sacchi",119,2,8,10,0,20,80,80,16,16,64,952,160,1.4,0.6,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,52,0,0,52,52,0,52,0,0,59
"6","I1",2024-05-26,"Verona","Inter",2,2,"D",2,2,"D",5.69,4.47,1.55,"2-2","2-2",18,8,15,11,1,1,0,0,9,3,17,8,4,12,25,"9-3","Y","Y","Y",2,0,"Verona-Inter","Luca Zufferli",108,4,64,20,100,80,240,1280,48,256,768,1296,960,1.7,2.4,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,30,0,60,0,30,60,90,30,60,30,0,106
"7","I1",2024-05-26,"Verona","Inter",2,2,"D",2,2,"D",5.69,4.47,1.55,"2-2","2-2",18,8,15,11,1,1,0,0,9,3,17,8,4,12,25,"9-3","Y","Y","Y",2,0,"Verona-Inter","Luca Zufferli",138.333333333333,2.83333333333333,44,33.3333333333333,633.333333333333,90.8333333333333,280.833333333333,1522.5,28.8333333333333,139.666666666667,433.833333333333,1408,785,1.43333333333333,1.4,0.333333333333333,0.333333333333333,0,0,0.5,0.5,0.333333333333333,0.333333333333333,3.33333333333333,3.33333333333333,6.66666666666667,13.3333333333333,13.3333333333333,26.6666666666667,491.666666666667,56.3333333333333,63.3333333333333,42.5,47.3333333333333,119.666666666667,89.8333333333333,209.5,26,37.1666666666667,23.5,0.166666666666667,90.5
