"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-19,"Cagliari","Juventus",2,2,"D",2,0,"H",5.16,3.58,1.79,"2-0","2-2",9,4,11,3,2,3,0,0,4,3,16,15,4,7,31,"4-3","Y","Y","Y",5,0,"Cagliari-Juventus","Marco Piccinini",214,4,109,50,600,200,350,5450,28,436,763,1498,1400,2.2,0.7,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,107,0,130,0,107,130,237,47,35,35,2,126
"2","I1",2024-04-29,"Genoa","Cagliari",3,0,"H",2,0,"H",2.33,3.11,3.53,"2-0","3-0",12,5,12,1,0,2,0,0,2,4,12,14,3,6,26,"2-4","Y","Y","N",2,0,"Genoa-Cagliari","Federico Dionisi",107,3,45,20,0,60,120,900,18,135,270,642,360,1.2,1.1,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,130,0,0,130,130,0,58,0,0,73
"3","I1",2024-05-05,"Cagliari","Lecce",1,1,"D",1,0,"H",2.2,3.18,3.77,"1-0","1-1",9,3,16,3,4,4,1,0,3,10,9,15,2,13,24,"3-10","Y","N","N",8,1,"Cagliari-Lecce","Matteo Marcenaro",110,2,35,105,2600,210,1365,3675,26,70,455,1430,2730,1,1.8,0,1,1,0,4,3,0,0,25,10,35,40,30,70,2450,292,88,198,0,380,198,578,64,14,14,0,124
"4","I1",2024-05-11,"Milan","Cagliari",5,1,"H",1,0,"H",1.41,4.95,6.91,"1-0","5-1",17,10,13,7,2,1,0,0,6,3,11,9,6,9,20,"6-3","Y","Y","Y",3,0,"Milan-Cagliari","Simone Sozza",400,6,58,30,200,180,270,1740,54,348,522,3600,1620,3.3,1.5,2,0,0,0,0,1,0,0,20,0,20,0,10,10,200,61,0,69,0,61,69,130,28,69,28,0,132
"5","I1",2024-05-19,"Sassuolo","Cagliari",0,2,"A",0,0,"D",2.38,3.47,3.07,"0-0","0-2",7,0,13,3,4,2,1,0,5,6,14,9,2,11,23,"5-6","Y","N","N",6,1,"Sassuolo-Cagliari","Daniele Doveri",161,2,25,85,1300,170,935,2125,22,50,275,1771,1870,0.3,1.5,0,0,0,0,3,2,0,0,0,0,0,30,20,50,0,226,0,137,0,226,137,363,54,61,54,1,118
"6","I1",2024-05-23,"Cagliari","Fiorentina",2,3,"A",0,1,"A",4.42,3.85,1.84,"0-1","2-3",14,6,11,5,2,4,0,0,4,5,13,14,5,9,27,"4-5","Y","Y","Y",6,0,"Cagliari-Fiorentina","Alessandro Prontera",367,5,69,60,800,300,540,4140,45,345,621,3303,2700,1.9,2,0,2,0,0,2,2,0,0,0,20,20,20,20,40,800,186,0,252,0,186,252,438,92,44,44,1,142
"7","I1",2024-04-25,"Udinese","Roma",1,2,"A",1,0,"H",3.44,3.25,2.3,"1-0","1-2",9,3,19,5,3,2,0,0,5,8,15,10,3,13,25,"5-8","Y","Y","N",5,0,"Udinese-Roma","Luca Pairetto",177,3,131,50,600,150,650,6550,39,393,1703,2301,1950,0.6,1.4,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,155,0,162,0,155,162,317,31,69,31,0,109
"8","I1",2024-04-28,"Napoli","Roma",2,2,"D",0,0,"D",2,3.67,3.83,"0-0","2-2",27,9,10,4,2,0,0,0,9,2,11,5,4,11,16,"9-2","Y","Y","Y",2,0,"Napoli-Roma","Simone Sozza",297,4,56,20,0,80,220,1120,44,224,616,3267,880,3,1.6,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,155,0,0,0,155,0,155,75,0,0,2,123
"9","I1",2024-05-05,"Roma","Juventus",1,1,"D",1,1,"D",2.88,3.12,2.74,"1-1","1-1",19,5,16,6,1,2,0,0,9,6,7,11,2,15,18,"9-6","Y","N","N",3,0,"Roma-Juventus","Andrea Colombo",46,2,93,30,200,60,450,2790,30,186,1395,690,900,1.7,1.2,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,84,0,75,0,84,75,159,84,4,4,0,90
"10","I1",2024-05-12,"Atalanta","Roma",2,1,"H",2,0,"H",1.97,3.56,3.8,"2-0","2-1",24,7,9,6,1,1,0,0,6,1,11,11,3,7,22,"6-1","Y","Y","N",2,0,"Atalanta-Roma","Marco Guida",104,3,41,20,100,60,140,820,21,123,287,728,420,2.7,1.2,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,58,0,46,0,58,46,104,58,46,46,1,86
