"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-28,"Atalanta","Empoli",2,0,"H",1,0,"H",1.45,4.77,7.14,"1-0","2-0",17,5,11,2,1,2,0,0,8,1,19,14,2,9,33,"8-1","Y","N","N",3,0,"Atalanta-Empoli","Michael Fabbri",93,2,19,30,200,60,270,570,18,38,171,837,540,1.9,0.4,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,81,0,101,0,81,101,182,81,24,24,1,82
"2","I1",2024-05-06,"Salernitana","Atalanta",1,2,"A",1,0,"H",8.73,5.45,1.35,"1-0","1-2",9,2,17,4,1,0,0,0,1,7,12,10,3,8,22,"1-7","Y","Y","N",1,0,"Salernitana-Atalanta","Ermanno Feliciani",138,3,130,10,0,30,80,1300,24,390,1040,1104,240,0.5,1.9,1,0,0,0,0,0,0,0,10,0,10,0,0,0,0,45,0,0,0,45,0,45,45,0,0,0,74
"3","I1",2024-05-12,"Atalanta","Roma",2,1,"H",2,0,"H",1.97,3.56,3.8,"2-0","2-1",24,7,9,6,1,1,0,0,6,1,11,11,3,7,22,"6-1","Y","Y","N",2,0,"Atalanta-Roma","Marco Guida",104,3,41,20,100,60,140,820,21,123,287,728,420,2.7,1.2,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,58,0,46,0,58,46,104,58,46,46,1,86
"4","I1",2024-05-18,"Lecce","Atalanta",0,2,"A",0,0,"D",4.68,3.83,1.76,"0-0","0-2",11,3,19,9,0,4,0,0,2,5,7,20,2,7,27,"2-5","Y","N","N",4,0,"Lecce-Atalanta","Antonio Rapuano",101,2,107,40,0,80,280,4280,14,214,749,707,560,1.3,1.6,0,3,0,0,0,1,0,0,0,30,30,0,10,10,300,0,0,173,0,0,173,173,0,25,0,0,71
"5","I1",2024-05-26,"Atalanta","Torino",3,0,"H",2,0,"H",3.54,3.44,2.14,"2-0","3-0",18,7,8,1,1,1,0,0,2,5,18,10,3,7,28,"2-5","Y","Y","N",2,0,"Atalanta-Torino","Simone Sozza",140,3,109,20,100,60,140,2180,21,327,763,980,420,2.6,1.1,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,77,0,58,0,77,58,135,77,58,58,1,86
"6","I1",2024-06-02,"Atalanta","Fiorentina",2,3,"A",2,3,"A",1.47,4.86,6.26,"2-3","2-3",12,3,8,4,0,2,0,0,4,4,5,9,5,8,14,"4-4","Y","Y","Y",2,0,"Atalanta-Fiorentina","Daniele Orsato",114,5,103,20,0,100,160,2060,40,515,824,912,800,1.7,1.2,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,160,0,0,160,160,0,75,0,0,109
"7","I1",2024-04-19,"Cagliari","Juventus",2,2,"D",2,0,"H",5.16,3.58,1.79,"2-0","2-2",9,4,11,3,2,3,0,0,4,3,16,15,4,7,31,"4-3","Y","Y","Y",5,0,"Cagliari-Juventus","Marco Piccinini",214,4,109,50,600,200,350,5450,28,436,763,1498,1400,2.2,0.7,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,107,0,130,0,107,130,237,47,35,35,2,126
"8","I1",2024-04-27,"Juventus","Milan",0,0,"D",0,0,"D",2.09,3.46,3.74,"0-0","0-0",18,7,9,0,0,1,0,0,9,4,10,4,0,13,14,"9-4","N","N","N",1,0,"Juventus-Milan","Maurizio Mariani",0,0,0,10,0,0,130,0,0,0,0,0,0,1.4,0.3,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,46,0,0,46,46,0,46,0,0,44
"9","I1",2024-05-05,"Roma","Juventus",1,1,"D",1,1,"D",2.88,3.12,2.74,"1-1","1-1",19,5,16,6,1,2,0,0,9,6,7,11,2,15,18,"9-6","Y","N","N",3,0,"Roma-Juventus","Andrea Colombo",46,2,93,30,200,60,450,2790,30,186,1395,690,900,1.7,1.2,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,84,0,75,0,84,75,159,84,4,4,0,90
"10","I1",2024-05-12,"Juventus","Salernitana",1,1,"D",0,1,"A",1.13,8.5,17.59,"0-1","1-1",25,6,13,4,2,5,0,0,9,4,15,12,2,13,27,"9-4","Y","N","N",7,0,"Juventus-Salernitana","Alberto Santoro",117,2,52,70,1000,140,910,3640,26,104,676,1521,1820,2.3,0.8,2,0,0,0,0,5,0,0,20,0,20,0,50,50,1000,47,0,430,0,47,430,477,22,68,22,0,104
