"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-19,"Genoa","Lazio",0,1,"A",0,0,"D",3.24,3.16,2.49,"0-0","0-1",8,2,13,1,1,2,0,0,2,9,7,13,1,11,20,"2-9","N","N","N",3,0,"Genoa-Lazio","Ermanno Feliciani",67,1,10,30,200,30,330,300,11,10,110,737,330,0.5,1,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,87,0,103,0,87,103,190,87,16,16,0,63
"2","I1",2024-04-29,"Genoa","Cagliari",3,0,"H",2,0,"H",2.33,3.11,3.53,"2-0","3-0",12,5,12,1,0,2,0,0,2,4,12,14,3,6,26,"2-4","Y","Y","N",2,0,"Genoa-Cagliari","Federico Dionisi",107,3,45,20,0,60,120,900,18,135,270,642,360,1.2,1.1,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,130,0,0,130,130,0,58,0,0,73
"3","I1",2024-05-05,"Milan","Genoa",3,3,"D",1,1,"D",1.49,4.59,6.64,"1-1","3-3",26,7,6,2,1,1,0,0,7,1,8,10,6,8,18,"7-1","Y","Y","Y",2,0,"Milan-Genoa","Alessandro Prontera",332,6,162,20,100,120,160,3240,48,972,1296,2656,960,2.8,1,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,43,0,94,0,43,94,137,43,94,43,1,134
"4","I1",2024-05-12,"Genoa","Sassuolo",2,1,"H",0,1,"A",2.21,3.44,3.26,"0-1","2-1",8,2,12,4,1,2,0,0,3,7,13,10,3,10,23,"3-7","Y","Y","N",3,0,"Genoa-Sassuolo","Maurizio Mariani",150,3,75,30,200,90,300,2250,30,225,750,1500,900,0.9,1.7,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,48,0,125,0,48,125,173,48,50,48,1,100
"5","I1",2024-05-19,"Roma","Genoa",1,0,"H",0,0,"D",1.49,4.5,6.93,"0-0","1-0",21,6,11,4,3,0,1,0,6,3,10,10,1,9,20,"6-3","N","N","N",3,1,"Roma-Genoa","Gianluca Manganiello",79,1,90,55,0,55,495,4950,9,90,810,711,495,0.8,0.5,0,0,0,0,2,0,1,0,0,0,0,45,0,45,0,154,144,0,0,298,0,298,72,0,0,0,72
"6","I1",2024-05-24,"Genoa","Bologna",2,0,"H",1,0,"H",3.52,3.33,2.2,"1-0","2-0",14,3,11,1,1,2,0,0,3,6,11,11,2,9,22,"3-6","Y","N","N",3,0,"Genoa-Bologna","Alberto Santoro",72,2,26,30,200,60,270,780,18,52,234,648,540,1.5,1,0,0,0,0,1,2,0,0,0,0,0,10,20,30,0,67,0,120,0,67,120,187,67,56,56,0,72
"7","I1",2024-04-22,"Milan","Inter",1,2,"A",0,1,"A",3.96,3.68,1.96,"0-1","1-2",15,6,11,3,3,2,2,1,5,3,19,10,3,8,29,"5-3","Y","Y","N",5,3,"Milan-Inter","Andrea Colombo",147,3,47,125,3600,375,1000,5875,24,141,376,1176,3000,2.2,2,1,2,0,0,2,0,2,1,10,20,30,70,25,95,2850,218,380,54,186,598,240,838,36,22,22,0,139
"8","I1",2024-04-28,"Inter","Torino",2,0,"H",0,0,"D",1.54,4.12,6.94,"0-0","2-0",17,5,11,3,0,0,0,1,5,4,6,8,2,9,14,"5-4","Y","N","N",0,1,"Inter-Torino","Maria Sole Ferrieri Caputi",116,2,40,25,0,50,225,1000,18,80,360,1044,450,1.7,0.5,0,0,0,0,0,0,0,1,0,0,0,0,25,25,0,0,0,0,98,0,98,98,0,0,0,1,82
"9","I1",2024-05-04,"Sassuolo","Inter",1,0,"H",1,0,"H",6.04,4.79,1.51,"1-0","1-0",6,2,14,1,1,1,0,0,2,5,10,10,1,7,20,"2-5","N","N","N",2,0,"Sassuolo-Inter","Matteo Marchetti",20,1,45,20,100,20,140,900,7,45,315,140,140,0.3,1.1,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,90,0,89,0,90,89,179,90,89,89,0,46
"10","I1",2024-05-10,"Frosinone","Inter",0,5,"A",0,1,"A",4.6,4.06,1.76,"0-1","0-5",17,8,14,5,0,0,0,0,8,4,4,8,5,12,12,"8-4","Y","Y","Y",0,0,"Frosinone-Inter","Antonio Giua",320,5,60,0,0,0,0,0,60,300,720,3840,0,1.3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
"11","I1",2024-05-19,"Inter","Lazio",1,1,"D",0,1,"A",1.68,4.28,4.85,"0-1","1-1",19,7,8,3,0,1,0,0,8,0,10,15,2,8,25,"8-0","Y","N","N",1,0,"Inter-Lazio","Juan Sacchi",119,2,8,10,0,20,80,80,16,16,64,952,160,1.4,0.6,0,0,0,0,0,1,0,0,0,0,0,0,10,10,0,0,0,52,0,0,52,52,0,52,0,0,59
