"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-20,"Empoli","Napoli",1,0,"H",1,0,"H",5.1,4.06,1.68,"1-0","1-0",7,1,9,1,2,2,0,0,2,8,14,12,1,10,26,"2-8","N","N","N",4,0,"Empoli-Napoli","Gianluca Manganiello",4,1,17,40,400,40,400,680,10,17,170,40,400,0.9,0.6,0,1,0,0,2,1,0,0,0,10,10,20,10,30,300,112,0,130,0,112,130,242,54,37,37,0,65
"2","I1",2024-04-28,"Atalanta","Empoli",2,0,"H",1,0,"H",1.45,4.77,7.14,"1-0","2-0",17,5,11,2,1,2,0,0,8,1,19,14,2,9,33,"8-1","Y","N","N",3,0,"Atalanta-Empoli","Michael Fabbri",93,2,19,30,200,60,270,570,18,38,171,837,540,1.9,0.4,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,81,0,101,0,81,101,182,81,24,24,1,82
"3","I1",2024-05-05,"Empoli","Frosinone",0,0,"D",0,0,"D",2.43,3.26,3.17,"0-0","0-0",7,1,17,5,2,3,0,0,3,8,15,11,0,11,26,"3-8","N","N","N",5,0,"Empoli-Frosinone","Daniele Doveri",0,0,0,50,600,0,550,0,0,0,0,0,0,0.3,1.2,0,1,0,0,2,2,0,0,0,10,10,20,20,40,400,142,0,152,0,142,152,294,68,18,18,0,58
"4","I1",2024-05-12,"Lazio","Empoli",2,0,"H",1,0,"H",1.58,3.95,5.8,"1-0","2-0",11,5,16,3,3,1,0,0,7,7,18,15,2,14,33,"7-7","Y","N","N",4,0,"Lazio-Empoli","Gianluca Aureliano",134,2,9,40,300,80,560,360,28,18,126,1876,1120,1.7,1.2,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,257,0,73,0,257,73,330,77,73,73,0,92
"5","I1",2024-05-19,"Udinese","Empoli",1,1,"D",0,0,"D",2.06,3.34,4.02,"0-0","1-1",8,2,4,1,1,7,0,1,5,5,14,18,2,10,32,"5-5","Y","N","N",8,1,"Udinese-Empoli","Daniele Orsato",180,2,34,105,950,210,1050,3570,20,68,340,1800,2100,1.2,0.8,1,1,0,0,0,5,0,0,10,10,20,0,50,50,1000,34,0,396,0,34,396,430,34,4,4,2,135
"6","I1",2024-05-26,"Empoli","Roma",2,1,"H",1,1,"D",1.99,3.8,3.64,"1-1","2-1",17,7,15,3,4,1,0,0,4,5,18,12,3,9,30,"4-5","Y","Y","N",5,0,"Empoli-Roma","Davide Massa",148,3,52,50,400,150,450,2600,27,156,468,1332,1350,2.6,1.3,2,0,0,0,2,1,0,0,20,0,20,20,10,30,600,207,0,90,0,207,90,297,2,90,2,0,97
"7","I1",2024-04-21,"Monza","Atalanta",1,2,"A",0,1,"A",4.09,3.68,1.93,"0-1","1-2",17,2,12,6,3,2,0,0,2,8,8,13,3,10,21,"2-8","Y","Y","N",5,0,"Monza-Atalanta","Antonio Giua",205,3,54,50,600,150,500,2700,30,162,540,2050,1500,1.1,1.5,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,163,0,176,0,163,176,339,3,83,3,0,100
"8","I1",2024-04-27,"Lecce","Monza",1,1,"D",0,0,"D",2.06,3.27,4.12,"0-0","1-1",12,4,9,1,2,3,0,0,0,5,13,18,2,5,31,"0-5","Y","N","N",5,0,"Lecce-Monza","Alberto Santoro",180,2,41,50,600,100,250,2050,10,82,205,900,500,0.9,1.1,1,1,0,0,1,2,0,0,10,10,20,10,20,30,600,95,0,162,0,95,162,257,25,15,15,1,80
"9","I1",2024-05-04,"Monza","Lazio",2,2,"D",0,1,"A",4.51,3.65,1.85,"0-1","2-2",17,7,9,5,1,7,0,0,5,4,8,13,4,9,21,"5-4","Y","Y","Y",8,0,"Monza-Lazio","Luca Pairetto",257,4,44,80,700,320,720,3520,36,176,396,2313,2880,1.7,1.4,0,3,0,0,1,4,0,0,0,30,30,10,40,50,1500,96,0,410,0,96,410,506,96,15,15,0,127
"10","I1",2024-05-13,"Fiorentina","Monza",2,1,"H",1,1,"D",1.55,4.3,5.58,"1-1","2-1",15,8,5,2,1,1,0,0,6,1,9,14,3,7,23,"6-1","Y","Y","N",2,0,"Fiorentina-Monza","Luca Zufferli",119,3,27,20,100,60,140,540,21,81,189,833,420,2.5,0.7,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,41,0,69,0,41,69,110,41,69,41,0,76
"11","I1",2024-05-19,"Monza","Frosinone",0,1,"A",0,1,"A",3,3.63,2.36,"0-1","0-1",14,2,16,5,1,2,0,0,3,4,14,13,1,7,27,"3-4","N","N","N",3,0,"Monza-Frosinone","Michael Fabbri",9,1,70,30,200,30,210,2100,7,70,490,63,210,1,2,1,0,0,0,0,2,0,0,10,0,10,0,20,20,200,28,0,139,0,28,139,167,28,47,28,0,51
"12","I1",2024-05-25,"Juventus","Monza",2,0,"H",2,0,"H",1.33,5.57,8.68,"2-0","2-0",12,4,12,4,1,3,0,1,3,4,15,13,2,7,28,"3-4","Y","N","N",4,1,"Juventus-Monza","Maria Sole Ferrieri Caputi",54,2,19,65,550,130,455,1235,14,38,133,378,910,0.9,0.6,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,63,0,105,0,63,105,168,63,38,38,0,86
"13","I1",2024-05-25,"Juventus","Monza",2,0,"H",2,0,"H",1.33,5.57,8.68,"2-0","2-0",12,4,12,4,1,3,0,1,3,4,15,13,2,7,28,"3-4","Y","N","N",4,1,"Juventus-Monza","Maria Sole Ferrieri Caputi",115.25,2.08333333333333,32.1666666666667,50.8333333333333,466.666666666667,110.833333333333,462.916666666667,1660.41666666667,18.4166666666667,75.5,269,1035.16666666667,994.166666666667,1.39166666666667,1.06666666666667,0.583333333333333,0.75,0,0,1.25,1.91666666666667,0,0,5.83333333333333,7.5,13.3333333333333,12.5,19.1666666666667,31.6666666666667,458.333333333333,109.916666666667,0,166.916666666667,0,109.916666666667,166.916666666667,276.833333333333,47.6666666666667,42.75,24.8333333333333,0.333333333333333,87.4166666666667
