"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-25,"Udinese","Roma",1,2,"A",1,0,"H",3.44,3.25,2.3,"1-0","1-2",9,3,19,5,3,2,0,0,5,8,15,10,3,13,25,"5-8","Y","Y","N",5,0,"Udinese-Roma","Luca Pairetto",177,3,131,50,600,150,650,6550,39,393,1703,2301,1950,0.6,1.4,1,0,0,0,2,2,0,0,10,0,10,20,20,40,400,155,0,162,0,155,162,317,31,69,31,0,109
"2","I1",2024-04-28,"Napoli","Roma",2,2,"D",0,0,"D",2,3.67,3.83,"0-0","2-2",27,9,10,4,2,0,0,0,9,2,11,5,4,11,16,"9-2","Y","Y","Y",2,0,"Napoli-Roma","Simone Sozza",297,4,56,20,0,80,220,1120,44,224,616,3267,880,3,1.6,0,0,0,0,2,0,0,0,0,0,0,20,0,20,0,155,0,0,0,155,0,155,75,0,0,2,123
"3","I1",2024-05-05,"Roma","Juventus",1,1,"D",1,1,"D",2.88,3.12,2.74,"1-1","1-1",19,5,16,6,1,2,0,0,9,6,7,11,2,15,18,"9-6","Y","N","N",3,0,"Roma-Juventus","Andrea Colombo",46,2,93,30,200,60,450,2790,30,186,1395,690,900,1.7,1.2,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,84,0,75,0,84,75,159,84,4,4,0,90
"4","I1",2024-05-12,"Atalanta","Roma",2,1,"H",2,0,"H",1.97,3.56,3.8,"2-0","2-1",24,7,9,6,1,1,0,0,6,1,11,11,3,7,22,"6-1","Y","Y","N",2,0,"Atalanta-Roma","Marco Guida",104,3,41,20,100,60,140,820,21,123,287,728,420,2.7,1.2,0,0,0,0,1,1,0,0,0,0,0,10,10,20,0,58,0,46,0,58,46,104,58,46,46,1,86
"5","I1",2024-05-19,"Roma","Genoa",1,0,"H",0,0,"D",1.49,4.5,6.93,"0-0","1-0",21,6,11,4,3,0,1,0,6,3,10,10,1,9,20,"6-3","N","N","N",3,1,"Roma-Genoa","Gianluca Manganiello",79,1,90,55,0,55,495,4950,9,90,810,711,495,0.8,0.5,0,0,0,0,2,0,1,0,0,0,0,45,0,45,0,154,144,0,0,298,0,298,72,0,0,0,72
"6","I1",2024-05-26,"Empoli","Roma",2,1,"H",1,1,"D",1.99,3.8,3.64,"1-1","2-1",17,7,15,3,4,1,0,0,4,5,18,12,3,9,30,"4-5","Y","Y","N",5,0,"Empoli-Roma","Davide Massa",148,3,52,50,400,150,450,2600,27,156,468,1332,1350,2.6,1.3,2,0,0,0,2,1,0,0,20,0,20,20,10,30,600,207,0,90,0,207,90,297,2,90,2,0,97
"7","I1",2024-04-19,"Genoa","Lazio",0,1,"A",0,0,"D",3.24,3.16,2.49,"0-0","0-1",8,2,13,1,1,2,0,0,2,9,7,13,1,11,20,"2-9","N","N","N",3,0,"Genoa-Lazio","Ermanno Feliciani",67,1,10,30,200,30,330,300,11,10,110,737,330,0.5,1,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,87,0,103,0,87,103,190,87,16,16,0,63
"8","I1",2024-04-27,"Lazio","Verona",1,0,"H",0,0,"D",1.66,3.96,5.53,"0-0","1-0",17,5,7,1,4,4,0,0,4,2,13,18,1,6,31,"4-2","N","N","N",8,0,"Lazio-Verona","Davide Massa",72,1,20,80,1600,80,480,1600,6,20,120,432,480,1.1,0.6,1,0,0,0,3,4,0,0,10,0,10,30,40,70,700,252,0,324,0,252,324,576,38,71,38,0,73
"9","I1",2024-05-04,"Monza","Lazio",2,2,"D",0,1,"A",4.51,3.65,1.85,"0-1","2-2",17,7,9,5,1,7,0,0,5,4,8,13,4,9,21,"5-4","Y","Y","Y",8,0,"Monza-Lazio","Luca Pairetto",257,4,44,80,700,320,720,3520,36,176,396,2313,2880,1.7,1.4,0,3,0,0,1,4,0,0,0,30,30,10,40,50,1500,96,0,410,0,96,410,506,96,15,15,0,127
"10","I1",2024-05-12,"Lazio","Empoli",2,0,"H",1,0,"H",1.58,3.95,5.8,"1-0","2-0",11,5,16,3,3,1,0,0,7,7,18,15,2,14,33,"7-7","Y","N","N",4,0,"Lazio-Empoli","Gianluca Aureliano",134,2,9,40,300,80,560,360,28,18,126,1876,1120,1.7,1.2,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,257,0,73,0,257,73,330,77,73,73,0,92
