"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-19,"Cagliari","Juventus",2,2,"D",2,0,"H",5.16,3.58,1.79,"2-0","2-2",9,4,11,3,2,3,0,0,4,3,16,15,4,7,31,"4-3","Y","Y","Y",5,0,"Cagliari-Juventus","Marco Piccinini",214,4,109,50,600,200,350,5450,28,436,763,1498,1400,2.2,0.7,1,2,0,0,1,1,0,0,10,20,30,10,10,20,600,107,0,130,0,107,130,237,47,35,35,2,126
"2","I1",2024-04-27,"Juventus","Milan",0,0,"D",0,0,"D",2.09,3.46,3.74,"0-0","0-0",18,7,9,0,0,1,0,0,9,4,10,4,0,13,14,"9-4","N","N","N",1,0,"Juventus-Milan","Maurizio Mariani",0,0,0,10,0,0,130,0,0,0,0,0,0,1.4,0.3,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,46,0,0,46,46,0,46,0,0,44
"3","I1",2024-05-05,"Roma","Juventus",1,1,"D",1,1,"D",2.88,3.12,2.74,"1-1","1-1",19,5,16,6,1,2,0,0,9,6,7,11,2,15,18,"9-6","Y","N","N",3,0,"Roma-Juventus","Andrea Colombo",46,2,93,30,200,60,450,2790,30,186,1395,690,900,1.7,1.2,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,84,0,75,0,84,75,159,84,4,4,0,90
"4","I1",2024-05-12,"Juventus","Salernitana",1,1,"D",0,1,"A",1.13,8.5,17.59,"0-1","1-1",25,6,13,4,2,5,0,0,9,4,15,12,2,13,27,"9-4","Y","N","N",7,0,"Juventus-Salernitana","Alberto Santoro",117,2,52,70,1000,140,910,3640,26,104,676,1521,1820,2.3,0.8,2,0,0,0,0,5,0,0,20,0,20,0,50,50,1000,47,0,430,0,47,430,477,22,68,22,0,104
"5","I1",2024-05-20,"Bologna","Juventus",3,3,"D",2,0,"H",2.48,3.1,3.26,"2-0","3-3",10,5,11,4,1,5,0,0,3,2,8,21,6,5,29,"3-2","Y","Y","Y",6,0,"Bologna-Juventus","Giovanni Ayroldi",309,6,120,60,500,360,300,7200,30,720,600,1545,1800,1.4,0.7,0,2,0,0,1,3,0,0,0,20,20,10,30,40,800,82,0,275,0,82,275,357,82,26,26,0,135
"6","I1",2024-05-25,"Juventus","Monza",2,0,"H",2,0,"H",1.33,5.57,8.68,"2-0","2-0",12,4,12,4,1,3,0,1,3,4,15,13,2,7,28,"3-4","Y","N","N",4,1,"Juventus-Monza","Maria Sole Ferrieri Caputi",54,2,19,65,550,130,455,1235,14,38,133,378,910,0.9,0.6,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,63,0,105,0,63,105,168,63,38,38,0,86
"7","I1",2024-05-25,"Juventus","Monza",2,0,"H",2,0,"H",1.33,5.57,8.68,"2-0","2-0",12,4,12,4,1,3,0,1,3,4,15,13,2,7,28,"3-4","Y","N","N",4,1,"Juventus-Monza","Maria Sole Ferrieri Caputi",123.333333333333,2.66666666666667,65.5,47.5,475,148.333333333333,432.5,3385.83333333333,21.3333333333333,247.333333333333,594.5,938.666666666667,1138.33333333333,1.65,0.716666666666667,0.5,1.16666666666667,0,0,0.666666666666667,1.83333333333333,0,0,5,11.6666666666667,16.6666666666667,6.66666666666667,18.3333333333333,25,466.666666666667,63.8333333333333,0,176.833333333333,0,63.8333333333333,176.833333333333,240.666666666667,49.6666666666667,36.1666666666667,20.8333333333333,0.333333333333333,97.5
