"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings","Home_xG","Away_xG","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","I1",2024-04-28,"Fiorentina","Sassuolo",5,1,"H",1,0,"H",1.74,3.98,4.8,"1-0","5-1",22,10,7,2,2,2,0,0,10,2,9,9,6,12,18,"10-2","Y","Y","Y",4,0,"Fiorentina-Sassuolo","Matteo Marcenaro",314,6,169,40,400,240,480,6760,72,1014,2028,3768,2880,3.2,0.3,1,1,0,0,1,1,0,0,10,10,20,10,10,20,400,112,0,80,0,112,80,192,32,13,13,0,146
"2","I1",2024-05-05,"Verona","Fiorentina",2,1,"H",1,1,"D",3.2,3.26,2.42,"1-1","2-1",9,4,13,4,2,1,0,0,1,2,12,11,3,3,23,"1-2","Y","Y","N",3,0,"Verona-Fiorentina","Antonio Rapuano",114,3,42,30,200,90,90,1260,9,126,126,342,270,1.9,0.9,0,0,0,0,2,1,0,0,0,0,0,20,10,30,0,125,0,77,0,125,77,202,46,77,46,1,79
"3","I1",2024-05-13,"Fiorentina","Monza",2,1,"H",1,1,"D",1.55,4.3,5.58,"1-1","2-1",15,8,5,2,1,1,0,0,6,1,9,14,3,7,23,"6-1","Y","Y","N",2,0,"Fiorentina-Monza","Luca Zufferli",119,3,27,20,100,60,140,540,21,81,189,833,420,2.5,0.7,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,41,0,69,0,41,69,110,41,69,41,0,76
"4","I1",2024-05-17,"Fiorentina","Napoli",2,2,"D",2,1,"H",2.33,3.58,3.13,"2-1","2-2",14,5,15,3,1,2,0,0,5,3,16,14,4,8,30,"5-3","Y","Y","Y",3,0,"Fiorentina-Napoli","Matteo Marchetti",147,4,111,30,200,120,240,3330,32,444,888,1176,960,0.6,1.2,0,1,0,0,1,1,0,0,0,10,10,10,10,20,200,84,0,111,0,84,111,195,84,41,41,0,99
"5","I1",2024-05-23,"Cagliari","Fiorentina",2,3,"A",0,1,"A",4.42,3.85,1.84,"0-1","2-3",14,6,11,5,2,4,0,0,4,5,13,14,5,9,27,"4-5","Y","Y","Y",6,0,"Cagliari-Fiorentina","Alessandro Prontera",367,5,69,60,800,300,540,4140,45,345,621,3303,2700,1.9,2,0,2,0,0,2,2,0,0,0,20,20,20,20,40,800,186,0,252,0,186,252,438,92,44,44,1,142
"6","I1",2024-06-02,"Atalanta","Fiorentina",2,3,"A",2,3,"A",1.47,4.86,6.26,"2-3","2-3",12,3,8,4,0,2,0,0,4,4,5,9,5,8,14,"4-4","Y","Y","Y",2,0,"Atalanta-Fiorentina","Daniele Orsato",114,5,103,20,0,100,160,2060,40,515,824,912,800,1.7,1.2,0,0,0,0,0,2,0,0,0,0,0,0,20,20,0,0,0,160,0,0,160,160,0,75,0,0,109
"7","I1",2024-04-22,"Milan","Inter",1,2,"A",0,1,"A",3.96,3.68,1.96,"0-1","1-2",15,6,11,3,3,2,2,1,5,3,19,10,3,8,29,"5-3","Y","Y","N",5,3,"Milan-Inter","Andrea Colombo",147,3,47,125,3600,375,1000,5875,24,141,376,1176,3000,2.2,2,1,2,0,0,2,0,2,1,10,20,30,70,25,95,2850,218,380,54,186,598,240,838,36,22,22,0,139
"8","I1",2024-04-27,"Juventus","Milan",0,0,"D",0,0,"D",2.09,3.46,3.74,"0-0","0-0",18,7,9,0,0,1,0,0,9,4,10,4,0,13,14,"9-4","N","N","N",1,0,"Juventus-Milan","Maurizio Mariani",0,0,0,10,0,0,130,0,0,0,0,0,0,1.4,0.3,0,1,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,46,0,0,46,46,0,46,0,0,44
"9","I1",2024-05-05,"Milan","Genoa",3,3,"D",1,1,"D",1.49,4.59,6.64,"1-1","3-3",26,7,6,2,1,1,0,0,7,1,8,10,6,8,18,"7-1","Y","Y","Y",2,0,"Milan-Genoa","Alessandro Prontera",332,6,162,20,100,120,160,3240,48,972,1296,2656,960,2.8,1,1,0,0,0,0,1,0,0,10,0,10,0,10,10,100,43,0,94,0,43,94,137,43,94,43,1,134
"10","I1",2024-05-11,"Milan","Cagliari",5,1,"H",1,0,"H",1.41,4.95,6.91,"1-0","5-1",17,10,13,7,2,1,0,0,6,3,11,9,6,9,20,"6-3","Y","Y","Y",3,0,"Milan-Cagliari","Simone Sozza",400,6,58,30,200,180,270,1740,54,348,522,3600,1620,3.3,1.5,2,0,0,0,0,1,0,0,20,0,20,0,10,10,200,61,0,69,0,61,69,130,28,69,28,0,132
