,Div,HomeTeam,AwayTeam,Date,
73,SC2,Queen of Sth,Alloa,09/11/2024,
74,SC2,Queen of Sth,Annan Athletic,17/08/2024,
75,SC2,Queen of Sth,Arbroath,14/09/2024,
76,SC2,Queen of Sth,Cove Rangers,10/08/2024,
77,SC2,Queen of Sth,Dumbarton,28/09/2024,
78,SC2,Queen of Sth,Inverness C,23/11/2024,
79,SC2,Queen of Sth,Kelty Hearts,05/10/2024,
80,SC2,Queen of Sth,Montrose,02/11/2024,
81,SC2,Queen of Sth,Stenhousemuir,14/12/2024,
82,SC2,Stenhousemuir,Alloa,19/10/2024,
83,SC2,Stenhousemuir,Annan Athletic,31/08/2024,
84,SC2,Stenhousemuir,Arbroath,03/08/2024,
85,SC2,Stenhousemuir,Cove Rangers,24/08/2024,
86,SC2,Stenhousemuir,Dumbarton,07/12/2024,
87,SC2,Stenhousemuir,Inverness C,21/12/2024,
88,SC2,Stenhousemuir,Kelty Hearts,26/10/2024,
89,SC2,Stenhousemuir,Montrose,16/09/2024,
90,SC2,Stenhousemuir,Queen of Sth,21/09/2024,
91,SC2,Alloa,Annan Athletic,12/04/2025,
92,SC2,Alloa,Arbroath,08/03/2025,
93,SC2,Alloa,Cove Rangers,01/03/2025,
94,SC2,Alloa,Dumbarton,29/03/2025,
95,SC2,Alloa,Inverness C,25/01/2025,
96,SC2,Alloa,Kelty Hearts,15/02/2025,
97,SC2,Alloa,Montrose,26/04/2025,
98,SC2,Alloa,Queen of Sth,11/01/2025,
99,SC2,Alloa,Stenhousemuir,28/12/2024,
100,SC2,Annan Athletic,Alloa,22/02/2025,
101,SC2,Annan Athletic,Arbroath,19/04/2025,
102,SC2,Annan Athletic,Cove Rangers,03/05/2025,
103,SC2,Annan Athletic,Dumbarton,08/02/2025,
104,SC2,Annan Athletic,Inverness C,11/01/2025,
105,SC2,Annan Athletic,Kelty Hearts,29/03/2025,
106,SC2,Annan Athletic,Montrose,25/01/2025,
