"","Div","HomeTeam","AwayTeam","Date"
"9","B1","Mechelen","Oud-Heverlee Leuven",2024-10-05
"10","B1","St Truiden","Gent",2024-10-05
"11","B1","Club Brugge","St. Gilloise",2024-10-05
"12","B1","Anderlecht","Standard",2024-10-05
"13","B1","Kortrijk","Genk",2024-10-05
"14","B1","Dender","Charleroi",2024-10-05
"15","B1","Antwerp","Cercle Brugge",2024-10-05
"16","B1","Westerlo","Beerschot VA",2024-10-05
"591","E0","Crystal Palace","Liverpool",2024-10-05
"592","E0","Man City","Fulham",2024-10-05
"593","E0","Brentford","Wolves",2024-10-05
"594","E0","West Ham","Ipswich",2024-10-05
"595","E0","Aston Villa","Man United",2024-10-05
"596","E0","Chelsea","Nottm Forest",2024-10-05
"597","E0","Arsenal","Southampton",2024-10-05
"598","E0","Leicester","Bournemouth",2024-10-05
"599","E0","Brighton","Tottenham",2024-10-05
"600","E0","Everton","Newcastle",2024-10-05
"891","D1","Stuttgart","Hoffenheim",2024-10-05
"892","D1","Ein Frankfurt","Bayern Munich",2024-10-05
"893","D1","St Pauli","Mainz",2024-10-05
"894","D1","Union Berlin","Dortmund",2024-10-05
"895","D1","Heidenheim","RB Leipzig",2024-10-05
"896","D1","Werder Bremen","Freiburg",2024-10-05
"897","D1","Leverkusen","Holstein Kiel",2024-10-05
"898","D1","Augsburg","Mgladbach",2024-10-05
"899","D1","Bochum","Wolfsburg",2024-10-05
"NA",NA,NA,NA,NA
"NA.1",NA,NA,NA,NA
"NA.2",NA,NA,NA,NA
"NA.3",NA,NA,NA,NA
"NA.4",NA,NA,NA,NA
"NA.5",NA,NA,NA,NA
"NA.6",NA,NA,NA,NA
"NA.7",NA,NA,NA,NA
"NA.8",NA,NA,NA,NA
"NA.9",NA,NA,NA,NA
"NA.10",NA,NA,NA,NA
"NA.11",NA,NA,NA,NA
"NA.12",NA,NA,NA,NA
"NA.13",NA,NA,NA,NA
"NA.14",NA,NA,NA,NA
"NA.15",NA,NA,NA,NA
"NA.16",NA,NA,NA,NA
"NA.17",NA,NA,NA,NA
"NA.18",NA,NA,NA,NA
"NA.19",NA,NA,NA,NA
"NA.20",NA,NA,NA,NA
"NA.21",NA,NA,NA,NA
"NA.22",NA,NA,NA,NA
"NA.23",NA,NA,NA,NA
"NA.24",NA,NA,NA,NA
"NA.25",NA,NA,NA,NA
"NA.26",NA,NA,NA,NA
"NA.27",NA,NA,NA,NA
"NA.28",NA,NA,NA,NA
"NA.29",NA,NA,NA,NA
"NA.30",NA,NA,NA,NA
"NA.31",NA,NA,NA,NA
"NA.32",NA,NA,NA,NA
"NA.33",NA,NA,NA,NA
"NA.34",NA,NA,NA,NA
"NA.35",NA,NA,NA,NA
"NA.36",NA,NA,NA,NA
"NA.37",NA,NA,NA,NA
"NA.38",NA,NA,NA,NA
"NA.39",NA,NA,NA,NA
"NA.40",NA,NA,NA,NA
"NA.41",NA,NA,NA,NA
"NA.42",NA,NA,NA,NA
"NA.43",NA,NA,NA,NA
"NA.44",NA,NA,NA,NA
"NA.45",NA,NA,NA,NA
"NA.46",NA,NA,NA,NA
"NA.47",NA,NA,NA,NA
"NA.48",NA,NA,NA,NA
"NA.49",NA,NA,NA,NA
